 

stn;time;tnd00xy0
DLMUS;1946;35
DLMUS;1947;51
DLMUS;1948;23
DLMUS;1949;27
DLMUS;1950;40
DLMUS;1951;16
DLMUS;1952;48
DLMUS;1953;43
DLMUS;1954;36
DLMUS;1955;44
DLMUS;1956;59
DLMUS;1957;22
DLMUS;1958;36
DLMUS;1959;27
DLMUS;1960;33
DLMUS;1961;28
DLMUS;1962;52
DLMUS;1963;69
DLMUS;1964;49
DLMUS;1965;43
DLMUS;1966;32
DLMUS;1967;33
DLMUS;1968;47
DLMUS;1969;55
DLMUS;1970;47
DLMUS;1971;30
DLMUS;1972;30
DLMUS;1973;47
DLMUS;1974;12
DLMUS;1975;25
DLMUS;1976;38
DLMUS;1977;30
DLMUS;1978;47
DLMUS;1979;42
DLMUS;1980;42
DLMUS;1981;48
DLMUS;1982;23
DLMUS;1983;37
DLMUS;1984;33
DLMUS;1985;55
DLMUS;1986;47
DLMUS;1987;55
DLMUS;1988;19
DLMUS;1989;12
DLMUS;1990;30
DLMUS;1991;47
DLMUS;1992;19
DLMUS;1993;40
DLMUS;1994;20
DLMUS;1995;31
DLMUS;1996;59
DLMUS;1997;28
DLMUS;1998;40
DLMUS;1999;35
DLMUS;2000;18
DLMUS;2001;27
DLMUS;2002;22
DLMUS;2003;37
DLMUS;2004;42
DLMUS;2005;49
DLMUS;2006;38
DLMUS;2007;16
DLMUS;2008;20
DLMUS;2009;33
DLMUS;2010;65
DLMUS;2011;24
DLMUS;2012;34
DLMUS;2013;45
DLMUS;2014;6
DLMUS;2015;22
