 

stn;time;rhh150yx
GUT;1981;20.6
GUT;1982;16.2
GUT;1983;12.8
GUT;1984;33.8
GUT;1985;17.2
GUT;1986;16.3
GUT;1987;14.0
GUT;1988;8.4
GUT;1989;11.7
GUT;1990;11.2
GUT;1991;9.0
GUT;1992;11.5
GUT;1993;24.2
GUT;1994;15.8
GUT;1995;21.5
GUT;1996;29.3
GUT;1997;10.7
GUT;1998;13.9
GUT;1999;48.9
GUT;2000;26.5
GUT;2001;11.1
GUT;2002;22.1
GUT;2003;28.8
GUT;2004;24.1
GUT;2005;12.9
GUT;2006;17.7
GUT;2007;23.2
GUT;2008;11.4
GUT;2009;12.2
GUT;2010;11.1
GUT;2011;16.5
GUT;2012;13.9
GUT;2013;21.9
GUT;2014;10.3
GUT;2015;54.7
GUT;2016;25.6
GUT;2017;24.5
GUT;2018;25.0
GUT;2019;22.0
GUT;2020;11.4
