 

stn;time;rzz150yx
CHU;1981;3.0
CHU;1982;5.4
CHU;1983;8.9
CHU;1984;6.3
CHU;1985;12.4
CHU;1986;2.7
CHU;1987;8.6
CHU;1988;3.1
CHU;1989;12.5
CHU;1990;5.9
CHU;1991;6.4
CHU;1992;10.7
CHU;1993;8.1
CHU;1994;10.7
CHU;1995;9.7
CHU;1996;4.8
CHU;1997;6.1
CHU;1998;4.2
CHU;1999;9.5
CHU;2000;7.2
CHU;2001;9.7
CHU;2002;8.9
CHU;2003;5.7
CHU;2004;4.4
CHU;2005;4.3
CHU;2006;4.2
CHU;2007;21.1
CHU;2008;7.7
CHU;2009;9.3
CHU;2010;7.5
CHU;2011;11.3
CHU;2012;7.7
CHU;2013;7.9
CHU;2014;2.4
CHU;2015;12.4
CHU;2016;17.6
CHU;2017;10.6
CHU;2018;4.6
CHU;2019;7.9
CHU;2020;3.1
