Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95479

Filename                                Filetype  Station                              Parameter                                                   Period
order_95479_TGARE_rre003mx_7_data.txt   Data      Arenenberg                           Precipitation; maximum 3-day total of the month             201508-201910
order_95479_TGARE_rre003mx_7_legend.txt Legend    Arenenberg                           Precipitation; maximum 3-day total of the month             201508-201910
order_95479_TGARE_rre003mx_8_data.txt   Data      Arenenberg                           Precipitation; maximum 3-day total of the month             201911-202008
order_95479_TGARE_rre003mx_8_legend.txt Legend    Arenenberg                           Precipitation; maximum 3-day total of the month             201911-202008
order_95479_TGARE_rre003mx_9_data.txt   Data      Arenenberg                           Precipitation; maximum 3-day total of the month             202009-202105
order_95479_TGARE_rre003mx_9_legend.txt Legend    Arenenberg                           Precipitation; maximum 3-day total of the month             202009-202105
order_95479_AER_rre003mx_1_data.txt     Data      Arenenberg-Ermatingen                Precipitation; maximum 3-day total of the month             197212-197712
order_95479_AER_rre003mx_1_legend.txt   Legend    Arenenberg-Ermatingen                Precipitation; maximum 3-day total of the month             197212-197712
order_95479_ASE_rre003mx_1_data.txt     Data      Areuse                               Precipitation; maximum 3-day total of the month             190001-198012
order_95479_ASE_rre003mx_1_legend.txt   Legend    Areuse                               Precipitation; maximum 3-day total of the month             190001-198012
order_95479_DLAUG_rre003mx_1_data.txt   Data      Augsburg                             Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLAUG_rre003mx_1_legend.txt Legend    Augsburg                             Precipitation; maximum 3-day total of the month             201605-202105
order_95479_AVE_rre003mx_1_data.txt     Data      Avenches                             Precipitation; maximum 3-day total of the month             193712-201905
order_95479_AVE_rre003mx_1_legend.txt   Legend    Avenches                             Precipitation; maximum 3-day total of the month             193712-201905
order_95479_AVE_rre003mx_2_data.txt     Data      Avenches                             Precipitation; maximum 3-day total of the month             201906-202105
order_95479_AVE_rre003mx_2_legend.txt   Legend    Avenches                             Precipitation; maximum 3-day total of the month             201906-202105
order_95479_VDARP_rre003mx_1_data.txt   Data      Avenches / IENA                      Precipitation; maximum 3-day total of the month             201212-201901
order_95479_VDARP_rre003mx_1_legend.txt Legend    Avenches / IENA                      Precipitation; maximum 3-day total of the month             201212-201901
order_95479_BAV_rre003mx_1_data.txt     Data      Bavois                               Precipitation; maximum 3-day total of the month             196012-197312
order_95479_BAV_rre003mx_1_legend.txt   Legend    Bavois                               Precipitation; maximum 3-day total of the month             196012-197312
order_95479_VDAVS_rre003mx_1_data.txt   Data      Bex / Avançon                        Precipitation; maximum 3-day total of the month             201212-201901
order_95479_VDAVS_rre003mx_1_legend.txt Legend    Bex / Avançon                        Precipitation; maximum 3-day total of the month             201212-201901
order_95479_VDAVS_rre003mx_2_data.txt   Data      Bex / Avançon                        Precipitation; maximum 3-day total of the month             201912-202010
order_95479_VDAVS_rre003mx_2_legend.txt Legend    Bex / Avançon                        Precipitation; maximum 3-day total of the month             201912-202010
order_95479_VDAVS_rre003mx_3_data.txt   Data      Bex / Avançon                        Precipitation; maximum 3-day total of the month             202011-202012
order_95479_VDAVS_rre003mx_3_legend.txt Legend    Bex / Avançon                        Precipitation; maximum 3-day total of the month             202011-202012
