 

stn;time;rre150y0
MTE;1973;711.3
MTE;1974;747.8
MTE;1975;715.3
MTE;1976;737.4
MTE;1977;964.3
MTE;1978;890.5
MTE;1979;998.0
MTE;1980;892.1
MTE;1981;1131.3
MTE;1982;911.6
MTE;1983;769.7
MTE;1984;849.2
MTE;1985;804.0
MTE;1986;907.8
MTE;1987;820.5
MTE;1988;908.9
MTE;1989;629.9
MTE;1990;947.5
MTE;1991;768.9
MTE;1992;949.6
MTE;1993;879.7
MTE;1994;973.2
MTE;1995;1052.1
MTE;1996;878.3
MTE;1997;722.5
MTE;1998;694.1
MTE;1999;1024.5
MTE;2000;791.8
MTE;2001;905.2
MTE;2002;1044.8
MTE;2003;591.5
MTE;2004;741.2
MTE;2005;698.0
MTE;2006;758.6
MTE;2007;1025.3
MTE;2008;855.4
MTE;2009;748.9
MTE;2010;722.4
MTE;2011;618.7
MTE;2012;831.6
MTE;2013;715.7
MTE;2014;832.8
MTE;2015;760.8
MTE;2016;764.7
MTE;2017;672.7
MTE;2018;879.5
MTE;2019;684.7
MTE;2020;795.5
