 

stn;time;rre150yx
SPA;1961;40.0
SPA;1962;49.0
SPA;1963;41.8
SPA;1964;42.6
SPA;1965;43.3
SPA;1966;39.0
SPA;1967;113.3
SPA;1968;47.7
SPA;1969;43.0
SPA;1970;34.1
SPA;1971;75.2
SPA;1972;77.9
SPA;1973;86.6
SPA;1974;39.0
SPA;1975;51.7
SPA;1976;43.4
SPA;1977;42.9
SPA;1978;83.8
SPA;1979;44.1
SPA;1980;35.5
SPA;1981;51.5
SPA;1982;47.9
SPA;1983;39.0
SPA;1984;76.2
SPA;1985;37.9
SPA;1986;36.0
SPA;1987;50.4
SPA;1988;47.6
SPA;1989;42.5
SPA;1990;52.3
SPA;1991;52.0
SPA;1992;47.0
SPA;1993;67.2
SPA;1994;75.8
SPA;1995;64.9
SPA;1996;40.6
SPA;1997;41.3
SPA;1998;29.5
SPA;1999;46.0
SPA;2000;47.5
SPA;2001;40.3
SPA;2002;48.5
SPA;2003;50.5
SPA;2004;34.5
SPA;2005;70.2
SPA;2006;71.5
SPA;2007;76.0
SPA;2008;43.5
SPA;2009;60.5
SPA;2010;54.5
SPA;2011;44.0
SPA;2012;49.5
SPA;2013;43.3
SPA;2014;51.8
SPA;2015;42.7
SPA;2016;40.0
SPA;2017;46.5
SPA;2018;89.0
SPA;2019;29.2
SPA;2020;81.6
