 

stn;time;rre150yx
WSS;1904;47.0
WSS;1905;44.3
WSS;1906;47.9
WSS;1907;42.2
WSS;1908;42.4
WSS;1909;41.5
WSS;1910;51.2
WSS;1911;28.0
WSS;1912;43.3
WSS;1913;40.0
WSS;1914;47.8
WSS;1915;56.0
WSS;1916;45.5
WSS;1917;45.0
WSS;1918;59.4
WSS;1919;64.2
WSS;1920;63.2
WSS;1921;37.8
WSS;1922;45.0
WSS;1923;52.0
WSS;1924;104.8
WSS;1925;36.0
WSS;1926;49.6
WSS;1927;57.2
WSS;1928;48.1
WSS;1929;50.8
WSS;1930;99.0
WSS;1931;46.4
WSS;1932;49.0
WSS;1933;52.0
WSS;1934;58.4
WSS;1935;95.0
WSS;1936;43.1
WSS;1937;52.4
WSS;1938;68.2
WSS;1939;69.9
WSS;1940;95.8
WSS;1941;32.3
WSS;1942;48.9
WSS;1943;43.4
WSS;1944;65.3
