 

stn;time;hns000y0
CLA;1951;14
CLA;1952;154
CLA;1953;34
CLA;1954;36
CLA;1955;64
CLA;1956;26
CLA;1957;46
CLA;1958;40
CLA;1959;24
CLA;1960;30
CLA;1961;6
CLA;1962;42
CLA;1963;54
CLA;1964;44
CLA;1965;70
CLA;1966;21
CLA;1967;32
CLA;1968;78
CLA;1969;20
CLA;1970;38
CLA;1971;29
CLA;1972;11
CLA;1973;21
CLA;1974;4
CLA;1975;10
CLA;1976;48
CLA;1977;4
CLA;1978;27
CLA;1979;34
CLA;1980;42
CLA;1981;33
CLA;1982;19
CLA;1983;5
CLA;1984;42
CLA;1985;100
CLA;1986;45
CLA;1987;36
CLA;1988;41
CLA;1989;3
CLA;1990;31
CLA;1991;30
CLA;1992;1
CLA;1993;24
CLA;1994;1
CLA;1995;45
CLA;1996;60
CLA;1997;2
CLA;1998;15
CLA;1999;59
CLA;2000;8
CLA;2001;20
CLA;2002;1
CLA;2003;39
CLA;2004;31
