 

stn;time;rhh150yx
SHA;1982;13.6
SHA;1983;22.4
SHA;1984;41.5
SHA;1985;12.4
SHA;1986;18.4
SHA;1987;32.2
SHA;1988;11.3
SHA;1989;32.2
SHA;1990;17.6
SHA;1991;8.1
SHA;1992;37.3
SHA;1993;17.4
SHA;1994;19.9
SHA;1995;23.3
SHA;1996;21.0
SHA;1997;20.4
SHA;1998;7.4
SHA;1999;14.0
SHA;2000;10.4
SHA;2001;9.2
SHA;2002;13.1
SHA;2003;15.7
SHA;2004;14.6
SHA;2005;14.5
SHA;2006;12.5
SHA;2007;37.3
SHA;2008;24.0
SHA;2009;19.4
SHA;2010;24.5
SHA;2011;17.8
SHA;2012;22.6
SHA;2013;43.6
SHA;2014;12.7
SHA;2015;20.6
SHA;2016;28.3
SHA;2017;20.6
SHA;2018;36.5
SHA;2019;12.5
SHA;2020;27.5
