 

stn;time;hns000y0
DIS;1961;310
DIS;1962;583
DIS;1963;299
DIS;1964;380
DIS;1965;518
DIS;1966;529
DIS;1967;527
DIS;1968;688
DIS;1969;339
DIS;1970;629
DIS;1971;255
DIS;1972;222
DIS;1973;375
DIS;1974;522
DIS;1975;688
DIS;1976;272
DIS;1977;426
DIS;1978;544
DIS;1979;471
DIS;1980;429
DIS;1981;683
DIS;1982;354
DIS;1983;400
DIS;1984;427
DIS;1985;346
DIS;1986;550
DIS;1987;415
DIS;1988;446
DIS;1989;207
DIS;1990;455
DIS;1991;313
DIS;1992;419
DIS;1993;327
DIS;1994;229
DIS;1995;527
DIS;1996;258
DIS;1997;202
DIS;1998;260
DIS;1999;743
DIS;2000;404
DIS;2001;316
DIS;2002;206
DIS;2003;300
DIS;2004;413
