 

stn;time;rzz150yx
PAY;1981;7.9
PAY;1982;12.8
PAY;1983;12.5
PAY;1984;6.9
PAY;1985;8.4
PAY;1986;11.1
PAY;1987;10.1
PAY;1988;13.0
PAY;1989;7.6
PAY;1990;5.5
PAY;1991;20.6
PAY;1992;5.6
PAY;1993;10.1
PAY;1994;12.4
PAY;1995;27.6
PAY;1996;10.3
PAY;1997;24.1
PAY;1998;20.3
PAY;1999;11.8
PAY;2000;12.6
PAY;2001;10.0
PAY;2002;13.2
PAY;2003;8.6
PAY;2004;10.7
PAY;2005;8.2
PAY;2006;9.1
PAY;2007;13.5
PAY;2008;6.5
PAY;2009;9.5
PAY;2010;7.0
PAY;2011;5.8
PAY;2012;12.9
PAY;2013;7.1
PAY;2014;12.2
PAY;2015;6.1
PAY;2016;8.9
PAY;2017;4.8
PAY;2018;12.0
PAY;2019;9.5
PAY;2020;13.1
