 

stn;time;rzz150yx
OTL;1981;17.3
OTL;1982;28.9
OTL;1983;14.8
OTL;1984;15.0
OTL;1985;18.3
OTL;1986;17.5
OTL;1987;18.8
OTL;1988;20.0
OTL;1989;12.8
OTL;1990;11.1
OTL;1991;13.9
OTL;1992;13.7
OTL;1993;16.4
OTL;1994;15.5
OTL;1995;14.6
OTL;1996;12.0
OTL;1997;22.8
OTL;1998;13.0
OTL;1999;26.0
OTL;2000;23.3
OTL;2001;13.9
OTL;2002;12.3
OTL;2003;33.6
OTL;2004;19.1
OTL;2005;13.9
OTL;2006;20.1
OTL;2007;16.6
OTL;2008;20.1
OTL;2009;25.0
OTL;2010;9.7
OTL;2011;17.7
OTL;2012;13.9
OTL;2013;11.8
OTL;2014;14.8
OTL;2015;9.4
OTL;2016;12.1
OTL;2017;15.0
OTL;2018;11.2
OTL;2019;14.6
OTL;2020;10.1
