 

stn;time;hns000mx
GUT;199711;0
GUT;199712;4
GUT;199801;1
GUT;199802;0
GUT;199803;3
GUT;199804;1
GUT;199805;0
GUT;199806;0
GUT;199807;0
GUT;199808;0
GUT;199809;0
GUT;199810;0
GUT;199811;5
GUT;199812;7
GUT;199901;4
GUT;199902;16
GUT;199903;0
GUT;199904;0
GUT;199905;0
GUT;199906;0
GUT;199907;0
GUT;199908;0
GUT;199909;0
GUT;199910;0
GUT;199911;11
GUT;199912;9
GUT;200001;3
GUT;200002;2
GUT;200003;0
GUT;200004;0
GUT;200005;0
GUT;200006;0
GUT;200007;0
GUT;200008;0
GUT;200009;0
GUT;200010;0
GUT;200011;0
GUT;200012;2
GUT;200101;2
GUT;200102;2
GUT;200103;7
GUT;200104;0
GUT;200105;0
GUT;200106;0
GUT;200107;0
GUT;200108;0
GUT;200109;0
GUT;200110;0
GUT;200111;4
GUT;200112;4
GUT;200201;0
GUT;200202;5
GUT;200203;0
GUT;200204;0
GUT;200205;0
GUT;200206;0
GUT;200207;0
GUT;200208;0
GUT;200209;0
GUT;200210;0
GUT;200211;0
GUT;200212;0
GUT;200301;7
GUT;200302;18
GUT;200303;0
GUT;200304;0
GUT;200305;0
GUT;200306;0
GUT;200307;0
GUT;200308;0
GUT;200309;0
GUT;200310;3
GUT;200311;0
GUT;200312;10
GUT;200401;6
GUT;200402;8
GUT;200403;7
GUT;200404;0
GUT;200405;0
GUT;200406;0
GUT;200407;0
GUT;200408;0
GUT;200409;0
GUT;200410;0
GUT;200411;0
GUT;200412;4
GUT;200501;3
GUT;200502;4
GUT;200503;4
GUT;200504;0
GUT;200505;0
GUT;200506;0
GUT;200507;0
GUT;200508;0
GUT;200509;0
GUT;200510;0
GUT;200511;3
GUT;200512;7
