 

stn;time;rsd300y0
CHY;1974;0
CHY;1975;2
CHY;1976;2
CHY;1977;2
CHY;1978;1
CHY;1979;3
CHY;1980;1
CHY;1981;2
CHY;1982;4
CHY;1983;5
CHY;1984;0
CHY;1985;1
CHY;1986;2
CHY;1987;3
CHY;1988;2
CHY;1989;1
CHY;1990;5
CHY;1991;5
CHY;1992;5
CHY;1993;3
CHY;1994;3
CHY;1995;4
CHY;1996;3
CHY;1997;2
CHY;1998;1
CHY;1999;3
CHY;2000;1
CHY;2001;3
CHY;2002;6
CHY;2003;1
CHY;2004;5
CHY;2005;3
CHY;2006;2
CHY;2007;2
CHY;2008;6
CHY;2009;0
CHY;2010;0
CHY;2011;1
CHY;2012;3
CHY;2013;3
CHY;2014;3
CHY;2015;6
CHY;2016;1
CHY;2017;2
CHY;2018;1
CHY;2019;2
CHY;2020;3
