Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95667

Filename                                Filetype  Station                              Parameter                                                   Period
order_95667_DLAUG_rhh150mx_1_data.txt   Data      Augsburg                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLAUG_rhh150mx_1_legend.txt Legend    Augsburg                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLAUL_rhh150mx_1_data.txt   Data      Aulendorf / Blönried                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLAUL_rhh150mx_1_legend.txt Legend    Aulendorf / Blönried                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLKIS_rhh150mx_1_data.txt   Data      Bad Kissingen                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLKIS_rhh150mx_1_legend.txt Legend    Bad Kissingen                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_RAG_rhh150mx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_RAG_rhh150mx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLBWB_rhh150mx_1_data.txt   Data      Bad Wildbad                          Precipitation; maximum total per hour of the month          202104-202105
order_95667_DLBWB_rhh150mx_1_legend.txt Legend    Bad Wildbad                          Precipitation; maximum total per hour of the month          202104-202105
order_95667_DLBAB_rhh150mx_1_data.txt   Data      Baden-Baden / Geroldsau              Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLBAB_rhh150mx_1_legend.txt Legend    Baden-Baden / Geroldsau              Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLBAM_rhh150mx_1_data.txt   Data      Bamberg                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLBAM_rhh150mx_1_legend.txt Legend    Bamberg                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_IYBAR_rhh150mx_1_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYBAR_rhh150mx_1_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202104-202105
order_95667_BAS_rhh150mx_1_data.txt     Data      Basel / Binningen                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_BAS_rhh150mx_1_legend.txt   Legend    Basel / Binningen                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_KADER_rhh150mx_1_data.txt   Data      Basel / Dreispitz                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_KADER_rhh150mx_1_legend.txt Legend    Basel / Dreispitz                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDBAU_rhh150mx_1_data.txt   Data      Baulmes                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDBAU_rhh150mx_1_legend.txt Legend    Baulmes                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_ZHBAM_rhh150mx_1_data.txt   Data      Bauma                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_ZHBAM_rhh150mx_1_legend.txt Legend    Bauma                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_BLZ_rhh150mx_1_data.txt     Data      Bellinzona                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_BLZ_rhh150mx_1_legend.txt   Legend    Bellinzona                           Precipitation; maximum total per hour of the month          202103-202105
