 

stn;time;fu3010m1
NABLAU;200310;47.9
NABLAU;200311;34.2
NABLAU;200312;56.5
NABLAU;200401;52.9
NABLAU;200402;49.3
NABLAU;200403;56.5
NABLAU;200404;47.2
NABLAU;200405;48.2
NABLAU;200406;45.4
NABLAU;200407;46.8
NABLAU;200408;82.4
NABLAU;200409;42.1
NABLAU;200410;55.8
NABLAU;200411;59.8
NABLAU;200412;49.3
NABLAU;200501;57.6
NABLAU;200502;66.6
NABLAU;200503;46.4
NABLAU;200504;61.9
NABLAU;200505;36.4
NABLAU;200506;51.8
NABLAU;200507;64.4
NABLAU;200508;38.9
NABLAU;200509;51.5
NABLAU;200510;31.7
NABLAU;200511;56.9
NABLAU;200512;41.4
NABLAU;200601;56.9
NABLAU;200602;63.7
NABLAU;200603;49.7
NABLAU;200604;60.8
NABLAU;200605;47.5
NABLAU;200606;46.4
NABLAU;200607;42.5
NABLAU;200608;67.3
NABLAU;200609;49.3
NABLAU;200610;54.7
NABLAU;200611;41.0
NABLAU;200612;47.9
NABLAU;200701;53.3
NABLAU;200702;59.0
NABLAU;200703;49.0
NABLAU;200704;49.0
NABLAU;200705;50.0
NABLAU;200706;43.9
NABLAU;200707;46.8
NABLAU;200708;46.1
NABLAU;200709;51.1
NABLAU;200710;52.6
NABLAU;200711;45.4
NABLAU;200712;53.3
NABLAU;200801;34.9
NABLAU;200802;47.5
NABLAU;200803;64.1
NABLAU;200804;45.7
NABLAU;200805;49.7
NABLAU;200806;36.0
