Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95471

Filename                                Filetype  Station                              Parameter                                                   Period
order_95471_ZHBAM_rre002mx_8_data.txt   Data      Bauma                                Precipitation; maximum 2-day total of the month             199905-200006
order_95471_ZHBAM_rre002mx_8_legend.txt Legend    Bauma                                Precipitation; maximum 2-day total of the month             199905-200006
order_95471_ZHBAM_rre002mx_9_data.txt   Data      Bauma                                Precipitation; maximum 2-day total of the month             200106-202105
order_95471_ZHBAM_rre002mx_9_legend.txt Legend    Bauma                                Precipitation; maximum 2-day total of the month             200106-202105
order_95471_BMU_rre002mx_1_data.txt     Data      Beromünster                          Precipitation; maximum 2-day total of the month             190001-202105
order_95471_BMU_rre002mx_1_legend.txt   Legend    Beromünster                          Precipitation; maximum 2-day total of the month             190001-202105
order_95471_BIE_rre002mx_1_data.txt     Data      Bière                                Precipitation; maximum 2-day total of the month             197404-202105
order_95471_BIE_rre002mx_1_legend.txt   Legend    Bière                                Precipitation; maximum 2-day total of the month             197404-202105
order_95471_BLU_rre002mx_1_data.txt     Data      Blumenstein                          Precipitation; maximum 2-day total of the month             197112-202105
order_95471_BLU_rre002mx_1_legend.txt   Legend    Blumenstein                          Precipitation; maximum 2-day total of the month             197112-202105
order_95471_TGBOH_rre002mx_1_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201312-201404
order_95471_TGBOH_rre002mx_1_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201312-201404
order_95471_TGBOH_rre002mx_2_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201405-201410
order_95471_TGBOH_rre002mx_2_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201405-201410
order_95471_TGBOH_rre002mx_3_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201412-201504
order_95471_TGBOH_rre002mx_3_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201412-201504
order_95471_TGBOH_rre002mx_4_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201601-201704
order_95471_TGBOH_rre002mx_4_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201601-201704
order_95471_TGBOH_rre002mx_5_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201705-201707
order_95471_TGBOH_rre002mx_5_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201705-201707
order_95471_TGBOH_rre002mx_6_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201708-201811
order_95471_TGBOH_rre002mx_6_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201708-201811
order_95471_TGBOH_rre002mx_7_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201812-201904
order_95471_TGBOH_rre002mx_7_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201812-201904
order_95471_TGBOH_rre002mx_8_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201905-202012
order_95471_TGBOH_rre002mx_8_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             201905-202012
order_95471_TGBOH_rre002mx_9_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             202101-202105
order_95471_TGBOH_rre002mx_9_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum 2-day total of the month             202101-202105
order_95471_BRI_rre002mx_1_data.txt     Data      Brig                                 Precipitation; maximum 2-day total of the month             189412-189501
order_95471_BRI_rre002mx_1_legend.txt   Legend    Brig                                 Precipitation; maximum 2-day total of the month             189412-189501
order_95471_BRI_rre002mx_2_data.txt     Data      Brig                                 Precipitation; maximum 2-day total of the month             189912-190608
order_95471_BRI_rre002mx_2_legend.txt   Legend    Brig                                 Precipitation; maximum 2-day total of the month             189912-190608
order_95471_BRI_rre002mx_3_data.txt     Data      Brig                                 Precipitation; maximum 2-day total of the month             196012-200310
order_95471_BRI_rre002mx_3_legend.txt   Legend    Brig                                 Precipitation; maximum 2-day total of the month             196012-200310
order_95471_BRI_rre002mx_4_data.txt     Data      Brig                                 Precipitation; maximum 2-day total of the month             200311-201309
order_95471_BRI_rre002mx_4_legend.txt   Legend    Brig                                 Precipitation; maximum 2-day total of the month             200311-201309
order_95471_BRI_rre002mx_5_data.txt     Data      Brig                                 Precipitation; maximum 2-day total of the month             202104-202105
order_95471_BRI_rre002mx_5_legend.txt   Legend    Brig                                 Precipitation; maximum 2-day total of the month             202104-202105
order_95471_BRO_rre002mx_1_data.txt     Data      Broc                                 Precipitation; maximum 2-day total of the month             196901-202105
order_95471_BRO_rre002mx_1_legend.txt   Legend    Broc                                 Precipitation; maximum 2-day total of the month             196901-202105
order_95471_BZL_rre002mx_1_data.txt     Data      Bruzella                             Precipitation; maximum 2-day total of the month             197312-200707
order_95471_BZL_rre002mx_1_legend.txt   Legend    Bruzella                             Precipitation; maximum 2-day total of the month             197312-200707
order_95471_CBR_rre002mx_1_data.txt     Data      Chambrelien                          Precipitation; maximum 2-day total of the month             189912-194512
order_95471_CBR_rre002mx_1_legend.txt   Legend    Chambrelien                          Precipitation; maximum 2-day total of the month             189912-194512
order_95471_CGG_rre002mx_1_data.txt     Data      Chiggiogna                           Precipitation; maximum 2-day total of the month             197212-198112
order_95471_CGG_rre002mx_1_legend.txt   Legend    Chiggiogna                           Precipitation; maximum 2-day total of the month             197212-198112
order_95471_COG_rre002mx_1_data.txt     Data      Combe-Garot                          Precipitation; maximum 2-day total of the month             194512-202105
order_95471_COG_rre002mx_1_legend.txt   Legend    Combe-Garot                          Precipitation; maximum 2-day total of the month             194512-202105
order_95471_COY_rre002mx_1_data.txt     Data      Courtelary                           Precipitation; maximum 2-day total of the month             191212-201708
order_95471_COY_rre002mx_1_legend.txt   Legend    Courtelary                           Precipitation; maximum 2-day total of the month             191212-201708
order_95471_COY_rre002mx_2_data.txt     Data      Courtelary                           Precipitation; maximum 2-day total of the month             201709-202105
order_95471_COY_rre002mx_2_legend.txt   Legend    Courtelary                           Precipitation; maximum 2-day total of the month             201709-202105
order_95471_DLDEG_rre002mx_1_data.txt   Data      Deggenhausertal                      Precipitation; maximum 2-day total of the month             200312-202105
order_95471_DLDEG_rre002mx_1_legend.txt Legend    Deggenhausertal                      Precipitation; maximum 2-day total of the month             200312-202105
order_95471_EBW_rre002mx_1_data.txt     Data      Ebertswil Hausen                     Precipitation; maximum 2-day total of the month             196012-197503
order_95471_EBW_rre002mx_1_legend.txt   Legend    Ebertswil Hausen                     Precipitation; maximum 2-day total of the month             196012-197503
order_95471_EBK_rre002mx_1_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum 2-day total of the month             187907-201306
