 

stn;time;rhh150yx
LUG;1981;35.2
LUG;1982;27.2
LUG;1983;30.7
LUG;1984;32.0
LUG;1985;29.6
LUG;1986;30.3
LUG;1987;35.2
LUG;1988;32.8
LUG;1989;25.2
LUG;1990;32.5
LUG;1991;25.0
LUG;1992;30.6
LUG;1993;24.2
LUG;1994;63.8
LUG;1995;35.4
LUG;1996;26.2
LUG;1997;18.2
LUG;1998;40.4
LUG;1999;42.3
LUG;2000;38.7
LUG;2001;51.8
LUG;2002;29.5
LUG;2003;37.0
LUG;2004;27.1
LUG;2005;21.3
LUG;2006;36.4
LUG;2007;29.5
LUG;2008;37.2
LUG;2009;51.9
LUG;2010;44.9
LUG;2011;42.1
LUG;2012;29.6
LUG;2013;26.2
LUG;2014;40.4
LUG;2015;21.0
LUG;2016;33.6
LUG;2017;81.5
LUG;2018;26.9
LUG;2019;35.3
LUG;2020;41.7
