 

stn;time;tnd00xy0
PAY;1965;16
PAY;1966;13
PAY;1967;19
PAY;1968;18
PAY;1969;35
PAY;1970;28
PAY;1971;39
PAY;1972;22
PAY;1973;22
PAY;1974;4
PAY;1975;14
PAY;1976;27
PAY;1977;15
PAY;1978;22
PAY;1979;14
PAY;1980;25
PAY;1981;26
PAY;1982;14
PAY;1983;24
PAY;1984;9
PAY;1985;40
PAY;1986;31
PAY;1987;27
PAY;1988;4
PAY;1989;29
PAY;1990;15
PAY;1991;29
PAY;1992;22
PAY;1993;22
PAY;1994;10
PAY;1995;22
PAY;1996;24
PAY;1997;23
PAY;1998;19
PAY;1999;22
PAY;2000;5
PAY;2001;10
PAY;2002;16
PAY;2003;21
PAY;2004;9
PAY;2005;28
PAY;2006;29
PAY;2007;18
PAY;2008;11
PAY;2009;23
PAY;2010;37
PAY;2011;8
PAY;2012;16
PAY;2013;25
PAY;2014;2
PAY;2015;8
PAY;2016;11
PAY;2017;17
PAY;2018;9
PAY;2019;4
PAY;2020;2
