 

stn;time;rhh150yx
MLS;1983;10.2
MLS;1984;11.8
MLS;1985;8.1
MLS;1986;14.4
MLS;1987;31.2
MLS;1988;27.6
MLS;1989;11.8
MLS;1990;43.9
MLS;1991;15.4
MLS;1992;17.1
MLS;1993;12.9
MLS;1994;11.2
MLS;1995;19.5
MLS;1996;10.2
MLS;1997;24.9
MLS;1998;11.2
MLS;1999;17.4
MLS;2000;13.6
MLS;2001;16.0
MLS;2002;21.0
MLS;2003;10.4
MLS;2004;19.5
MLS;2005;36.1
MLS;2006;15.6
MLS;2007;18.4
MLS;2008;10.9
MLS;2009;13.7
MLS;2010;23.1
MLS;2011;17.6
MLS;2012;11.6
MLS;2013;18.9
MLS;2014;29.5
MLS;2015;15.6
MLS;2016;15.9
MLS;2017;22.7
MLS;2018;19.6
MLS;2019;16.2
MLS;2020;14.8
