 

stn;time;hto000y0
SMA;1931;2
SMA;1932;0
SMA;1933;0
SMA;1934;0
SMA;1935;1
SMA;1936;0
SMA;1937;0
SMA;1938;0
SMA;1939;1
SMA;1940;1
SMA;1941;0
SMA;1942;4
SMA;1943;0
SMA;1944;1
SMA;1945;1
SMA;1946;0
SMA;1947;1
SMA;1948;0
SMA;1949;0
SMA;1950;0
SMA;1951;0
SMA;1952;3
SMA;1953;1
SMA;1954;1
SMA;1955;0
SMA;1956;1
SMA;1957;0
SMA;1958;0
SMA;1959;0
SMA;1960;0
SMA;1961;0
SMA;1962;1
SMA;1963;3
SMA;1964;0
SMA;1965;1
SMA;1966;1
SMA;1967;0
SMA;1968;1
SMA;1969;2
SMA;1970;2
SMA;1971;1
SMA;1972;0
SMA;1973;1
SMA;1974;0
SMA;1975;0
SMA;1976;1
SMA;1977;1
SMA;1978;1
SMA;1979;1
SMA;1980;1
SMA;1981;1
SMA;1982;0
SMA;1983;0
SMA;1984;0
SMA;1985;2
SMA;1986;2
SMA;1987;1
SMA;1988;0
SMA;1989;0
SMA;1990;1
SMA;1991;0
SMA;1992;0
SMA;1993;0
SMA;1994;0
SMA;1995;0
SMA;1996;1
SMA;1997;0
SMA;1998;0
SMA;1999;1
SMA;2000;0
SMA;2001;0
SMA;2002;0
SMA;2003;1
SMA;2004;1
SMA;2005;2
SMA;2006;1
SMA;2007;0
SMA;2008;1
SMA;2009;1
SMA;2010;2
SMA;2011;0
SMA;2012;1
SMA;2013;1
SMA;2014;0
SMA;2015;1
SMA;2016;0
SMA;2017;1
SMA;2018;0
SMA;2019;0
SMA;2020;0
