 

stn;time;brefard0
MAC;20050601;0
MAC;20050602;0
MAC;20050603;5
MAC;20050604;0
MAC;20050605;0
MAC;20050606;0
MAC;20050607;0
MAC;20050608;0
MAC;20050609;0
MAC;20050610;0
MAC;20050611;0
MAC;20050612;3
MAC;20050613;260
MAC;20050614;0
MAC;20050615;0
MAC;20050616;0
MAC;20050617;0
MAC;20050618;0
MAC;20050619;1
MAC;20050620;64
MAC;20050621;36
MAC;20050622;13
MAC;20050623;530
MAC;20050624;1767
MAC;20050625;41
MAC;20050626;0
MAC;20050627;12
MAC;20050628;15
MAC;20050629;213
MAC;20050630;0
MAC;20050701;1
MAC;20050702;0
MAC;20050703;0
MAC;20050704;39
MAC;20050705;0
MAC;20050706;0
MAC;20050707;0
MAC;20050708;0
MAC;20050709;5
MAC;20050710;0
MAC;20050711;0
MAC;20050712;0
MAC;20050713;0
MAC;20050714;0
MAC;20050715;13
MAC;20050716;94
MAC;20050717;4
MAC;20050718;530
MAC;20050719;0
MAC;20050720;0
MAC;20050721;0
MAC;20050722;0
MAC;20050723;0
MAC;20050724;108
MAC;20050725;164
MAC;20050726;0
MAC;20050727;0
MAC;20050728;0
MAC;20050729;123
MAC;20050730;0
MAC;20050731;0
MAC;20050801;0
MAC;20050802;0
MAC;20050803;0
MAC;20050804;0
MAC;20050805;0
MAC;20050806;0
MAC;20050807;0
MAC;20050808;0
MAC;20050809;0
MAC;20050810;0
MAC;20050811;7
MAC;20050812;0
MAC;20050813;0
MAC;20050814;31
MAC;20050815;0
MAC;20050816;0
MAC;20050817;0
MAC;20050818;23
MAC;20050819;9
MAC;20050820;0
MAC;20050821;0
MAC;20050822;0
MAC;20050823;0
MAC;20050824;0
MAC;20050825;0
MAC;20050826;0
MAC;20050827;1
MAC;20050828;0
MAC;20050829;0
MAC;20050830;0
MAC;20050831;0
MAC;20050901;115
MAC;20050902;18
MAC;20050903;0
MAC;20050904;0
MAC;20050905;167
MAC;20050906;7
MAC;20050907;0
MAC;20050908;0
MAC;20050909;12
MAC;20050910;63
MAC;20050911;2
MAC;20050912;0
MAC;20050913;0
MAC;20050914;0
MAC;20050915;0
MAC;20050916;0
MAC;20050917;0
MAC;20050918;0
MAC;20050919;0
MAC;20050920;0
MAC;20050921;0
MAC;20050922;0
MAC;20050923;0
MAC;20050924;0
MAC;20050925;27
MAC;20050926;0
MAC;20050927;0
MAC;20050928;0
MAC;20050929;0
MAC;20050930;0
MAC;20051001;0
MAC;20051002;1
MAC;20051003;0
MAC;20051004;0
MAC;20051005;0
MAC;20051006;0
MAC;20051007;0
MAC;20051008;0
MAC;20051009;0
MAC;20051010;0
MAC;20051011;0
MAC;20051012;0
MAC;20051013;0
MAC;20051014;0
MAC;20051015;0
MAC;20051016;0
MAC;20051017;0
MAC;20051018;0
MAC;20051019;0
MAC;20051020;0
MAC;20051021;0
MAC;20051022;1
MAC;20051023;0
MAC;20051024;0
MAC;20051025;0
MAC;20051026;0
MAC;20051027;0
