Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94067

Filename                                Filetype  Station                              Parameter                                                   Period
order_94067_TGALL_rzz150mx_10_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201508-201509
order_94067_TGALL_rzz150mx_11_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201511-201512
order_94067_TGALL_rzz150mx_11_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201511-201512
order_94067_TGALL_rzz150mx_12_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201604-201606
order_94067_TGALL_rzz150mx_12_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201604-201606
order_94067_TGALL_rzz150mx_13_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201607-201610
order_94067_TGALL_rzz150mx_13_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201607-201610
order_94067_TGALL_rzz150mx_14_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201705-201710
order_94067_TGALL_rzz150mx_14_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201705-201710
order_94067_TGALL_rzz150mx_15_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201804-201805
order_94067_TGALL_rzz150mx_15_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201804-201805
order_94067_TGALL_rzz150mx_16_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201806-201809
order_94067_TGALL_rzz150mx_16_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201806-201809
order_94067_TGALL_rzz150mx_17_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201905-201908
order_94067_TGALL_rzz150mx_17_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201905-201908
order_94067_TGALL_rzz150mx_18_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        201909-201910
order_94067_TGALL_rzz150mx_18_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        201909-201910
order_94067_TGALL_rzz150mx_19_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        202006-202008
order_94067_TGALL_rzz150mx_19_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        202006-202008
order_94067_TGALL_rzz150mx_20_data.txt  Data      Allenwinden                          Precipitation; maximum ten minute total of the month        202009-202011
order_94067_TGALL_rzz150mx_20_legend.txt Legend    Allenwinden                          Precipitation; maximum ten minute total of the month        202009-202011
order_94067_AND_rzz150mx_1_data.txt     Data      Andeer                               Precipitation; maximum ten minute total of the month        200805-201207
order_94067_AND_rzz150mx_1_legend.txt   Legend    Andeer                               Precipitation; maximum ten minute total of the month        200805-201207
order_94067_AND_rzz150mx_2_data.txt     Data      Andeer                               Precipitation; maximum ten minute total of the month        201208-201307
order_94067_AND_rzz150mx_2_legend.txt   Legend    Andeer                               Precipitation; maximum ten minute total of the month        201208-201307
order_94067_AND_rzz150mx_3_data.txt     Data      Andeer                               Precipitation; maximum ten minute total of the month        201310-201605
order_94067_AND_rzz150mx_3_legend.txt   Legend    Andeer                               Precipitation; maximum ten minute total of the month        201310-201605
order_94067_AND_rzz150mx_4_data.txt     Data      Andeer                               Precipitation; maximum ten minute total of the month        201606-201705
order_94067_AND_rzz150mx_4_legend.txt   Legend    Andeer                               Precipitation; maximum ten minute total of the month        201606-201705
order_94067_AND_rzz150mx_5_data.txt     Data      Andeer                               Precipitation; maximum ten minute total of the month        201707-202103
order_94067_AND_rzz150mx_5_legend.txt   Legend    Andeer                               Precipitation; maximum ten minute total of the month        201707-202103
order_94067_DLBAL_rzz150mx_1_data.txt   Data      Balderschwang                        Precipitation; maximum ten minute total of the month        202102-202103
order_94067_DLBAL_rzz150mx_1_legend.txt Legend    Balderschwang                        Precipitation; maximum ten minute total of the month        202102-202103
order_94067_BEY_rzz150mx_1_data.txt     Data      Bellelay                             Precipitation; maximum ten minute total of the month        201510-201811
order_94067_BEY_rzz150mx_1_legend.txt   Legend    Bellelay                             Precipitation; maximum ten minute total of the month        201510-201811
order_94067_BEY_rzz150mx_2_data.txt     Data      Bellelay                             Precipitation; maximum ten minute total of the month        201812-202103
order_94067_BEY_rzz150mx_2_legend.txt   Legend    Bellelay                             Precipitation; maximum ten minute total of the month        201812-202103
order_94067_WSLBTB_rzz150mx_1_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        201712-201909
order_94067_WSLBTB_rzz150mx_1_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        201712-201909
order_94067_WSLBTB_rzz150mx_2_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202002-202005
order_94067_WSLBTB_rzz150mx_2_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202002-202005
order_94067_WSLBTB_rzz150mx_3_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202007-202010
order_94067_WSLBTB_rzz150mx_3_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202007-202010
order_94067_WSLBTB_rzz150mx_4_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202011-202012
order_94067_WSLBTB_rzz150mx_4_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202011-202012
order_94067_WSLBTB_rzz150mx_5_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202101-202102
order_94067_WSLBTB_rzz150mx_5_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum ten minute total of the month        202101-202102
order_94067_WSLBTF_rzz150mx_1_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        201712-201908
order_94067_WSLBTF_rzz150mx_1_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        201712-201908
order_94067_WSLBTF_rzz150mx_2_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202002-202004
order_94067_WSLBTF_rzz150mx_2_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202002-202004
order_94067_WSLBTF_rzz150mx_3_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202006-202008
order_94067_WSLBTF_rzz150mx_3_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202006-202008
order_94067_WSLBTF_rzz150mx_4_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202009-202103
order_94067_WSLBTF_rzz150mx_4_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum ten minute total of the month        202009-202103
order_94067_DLBRI_rzz150mx_1_data.txt   Data      Breitnau                             Precipitation; maximum ten minute total of the month        202102-202103
order_94067_DLBRI_rzz150mx_1_legend.txt Legend    Breitnau                             Precipitation; maximum ten minute total of the month        202102-202103
order_94067_TICAR_rzz150mx_1_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        200509-201612
order_94067_TICAR_rzz150mx_1_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        200509-201612
order_94067_TICAR_rzz150mx_2_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        201701-201705
order_94067_TICAR_rzz150mx_2_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        201701-201705
order_94067_TICAR_rzz150mx_3_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        201706-201709
order_94067_TICAR_rzz150mx_3_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        201706-201709
order_94067_TICAR_rzz150mx_4_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        201710-201912
order_94067_TICAR_rzz150mx_4_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        201710-201912
order_94067_TICAR_rzz150mx_5_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        202001-202005
order_94067_TICAR_rzz150mx_5_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        202001-202005
order_94067_TICAR_rzz150mx_6_data.txt   Data      Carena                               Precipitation; maximum ten minute total of the month        202006-202103
order_94067_TICAR_rzz150mx_6_legend.txt Legend    Carena                               Precipitation; maximum ten minute total of the month        202006-202103
order_94067_VSCHY_rzz150mx_1_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201010-201212
order_94067_VSCHY_rzz150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201010-201212
order_94067_VSCHY_rzz150mx_2_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201301-201308
order_94067_VSCHY_rzz150mx_2_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201301-201308
order_94067_VSCHY_rzz150mx_3_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201309-201504
order_94067_VSCHY_rzz150mx_3_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201309-201504
order_94067_VSCHY_rzz150mx_4_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201505-201705
order_94067_VSCHY_rzz150mx_4_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201505-201705
order_94067_VSCHY_rzz150mx_5_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201706-202006
