 

stn;time;rhh150yx
SBE;1982;21.9
SBE;1983;29.4
SBE;1984;13.3
SBE;1985;13.2
SBE;1986;20.4
SBE;1987;13.9
SBE;1988;21.9
SBE;1989;28.3
SBE;1990;18.4
SBE;1991;12.3
SBE;1992;18.2
SBE;1993;13.7
SBE;1994;16.5
SBE;1995;17.9
SBE;1996;15.8
SBE;1997;20.4
SBE;1998;19.9
SBE;1999;33.8
SBE;2000;15.4
SBE;2001;21.0
SBE;2002;21.5
SBE;2003;25.9
SBE;2004;16.7
SBE;2005;20.0
SBE;2006;26.3
SBE;2007;14.8
SBE;2008;15.0
SBE;2009;20.3
SBE;2010;19.4
SBE;2011;12.1
SBE;2012;18.4
SBE;2013;13.7
SBE;2014;25.7
SBE;2015;16.7
SBE;2016;14.5
SBE;2017;18.1
SBE;2018;19.9
SBE;2019;35.5
SBE;2020;22.8
