 

stn;time;tnd00xy0
SCU;1972;34
SCU;1973;42
SCU;1974;20
SCU;1975;28
SCU;1976;43
SCU;1977;39
SCU;1978;48
SCU;1979;43
SCU;1980;51
SCU;1981;74
SCU;1982;43
SCU;1983;51
SCU;1984;53
SCU;1985;56
SCU;1986;56
SCU;1987;54
SCU;1988;38
SCU;1989;14
SCU;1990;40
SCU;1991;54
SCU;1992;44
SCU;1993;35
SCU;1994;27
SCU;1995;49
SCU;1996;39
SCU;1997;27
SCU;1998;41
SCU;1999;49
SCU;2000;41
SCU;2001;47
SCU;2002;22
SCU;2003;37
SCU;2004;45
SCU;2005;77
SCU;2006;45
SCU;2007;36
SCU;2008;42
SCU;2009;60
SCU;2010;68
SCU;2011;26
SCU;2012;55
SCU;2013;44
SCU;2014;20
SCU;2015;27
SCU;2016;22
SCU;2017;42
SCU;2018;40
SCU;2019;40
SCU;2020;26
