Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94871

Filename                                Filetype  Station                              Parameter                                                   Period
order_94871_TAE_rre150m0_1_data.txt     Data      Aadorf / Tänikon                     Precipitation; monthly total                                202102-202104
order_94871_TAE_rre150m0_1_legend.txt   Legend    Aadorf / Tänikon                     Precipitation; monthly total                                202102-202104
order_94871_ABE_rre150m0_1_data.txt     Data      Aarberg                              Precipitation; monthly total                                202102-202104
order_94871_ABE_rre150m0_1_legend.txt   Legend    Aarberg                              Precipitation; monthly total                                202102-202104
order_94871_AGAAB_rre150m0_1_data.txt   Data      Aarburg                              Precipitation; monthly total                                202102-202104
order_94871_AGAAB_rre150m0_1_legend.txt Legend    Aarburg                              Precipitation; monthly total                                202102-202104
order_94871_AFT_rre150m0_1_data.txt     Data      Affeltrangen                         Precipitation; monthly total                                202102-202104
order_94871_AFT_rre150m0_1_legend.txt   Legend    Affeltrangen                         Precipitation; monthly total                                202102-202104
order_94871_AIG_rre150m0_1_data.txt     Data      Aigle                                Precipitation; monthly total                                202102-202104
order_94871_AIG_rre150m0_1_legend.txt   Legend    Aigle                                Precipitation; monthly total                                202102-202104
order_94871_ALT_rre150m0_1_data.txt     Data      Altdorf                              Precipitation; monthly total                                202102-202104
order_94871_ALT_rre150m0_1_legend.txt   Legend    Altdorf                              Precipitation; monthly total                                202102-202104
order_94871_ARH_rre150m0_1_data.txt     Data      Altenrhein                           Precipitation; monthly total                                202102-202104
order_94871_ARH_rre150m0_1_legend.txt   Legend    Altenrhein                           Precipitation; monthly total                                202102-202104
order_94871_DLALH_rre150m0_1_data.txt   Data      Altheim                              Precipitation; monthly total                                202102-202104
order_94871_DLALH_rre150m0_1_legend.txt Legend    Altheim                              Precipitation; monthly total                                202102-202104
order_94871_DLALM_rre150m0_1_data.txt   Data      Altomünster                          Precipitation; monthly total                                202102-202104
order_94871_DLALM_rre150m0_1_legend.txt Legend    Altomünster                          Precipitation; monthly total                                202102-202104
order_94871_ALS_rre150m0_1_data.txt     Data      Altstätten, SG                       Precipitation; monthly total                                202102-202104
order_94871_ALS_rre150m0_1_legend.txt   Legend    Altstätten, SG                       Precipitation; monthly total                                202102-202104
order_94871_DLAME_rre150m0_1_data.txt   Data      Amerang / Pfaffing                   Precipitation; monthly total                                202102-202104
order_94871_DLAME_rre150m0_1_legend.txt Legend    Amerang / Pfaffing                   Precipitation; monthly total                                202102-202104
order_94871_AMW_rre150m0_1_data.txt     Data      Amriswil                             Precipitation; monthly total                                202102-202104
order_94871_AMW_rre150m0_1_legend.txt   Legend    Amriswil                             Precipitation; monthly total                                202102-202104
order_94871_TGAMR_rre150m0_1_data.txt   Data      Amriswil                             Precipitation; monthly total                                202102-202104
order_94871_TGAMR_rre150m0_1_legend.txt Legend    Amriswil                             Precipitation; monthly total                                202102-202104
order_94871_AFI_rre150m0_1_data.txt     Data      Andelfingen                          Precipitation; monthly total                                202102-202104
order_94871_AFI_rre150m0_1_legend.txt   Legend    Andelfingen                          Precipitation; monthly total                                202102-202104
order_94871_ARB_rre150m0_1_data.txt     Data      Arbon                                Precipitation; monthly total                                202102-202104
order_94871_ARB_rre150m0_1_legend.txt   Legend    Arbon                                Precipitation; monthly total                                202102-202104
order_94871_TGARE_rre150m0_1_data.txt   Data      Arenenberg                           Precipitation; monthly total                                202102-202104
