 

stn;time;hto000y0
SAM;1980;25
SAM;1981;14
SAM;1982;25
SAM;1983;13
SAM;1984;18
SAM;1985;19
SAM;1986;24
SAM;1987;13
SAM;1988;16
SAM;1989;4
SAM;1990;13
SAM;1991;16
SAM;1992;25
SAM;1993;7
SAM;1994;14
SAM;1995;10
SAM;1996;11
SAM;1997;15
SAM;1998;10
SAM;1999;17
SAM;2000;13
SAM;2001;21
SAM;2002;6
SAM;2003;12
SAM;2004;13
SAM;2005;10
SAM;2006;10
SAM;2007;9
SAM;2008;17
SAM;2009;28
SAM;2010;18
SAM;2011;9
SAM;2012;20
SAM;2013;12
SAM;2014;25
SAM;2015;6
SAM;2016;7
SAM;2017;7
SAM;2018;20
SAM;2019;18
SAM;2020;13
