 

stn;time;rzz150yx
NAP;1981;12.4
NAP;1982;15.6
NAP;1983;13.1
NAP;1984;7.4
NAP;1985;6.7
NAP;1986;8.9
NAP;1987;6.1
NAP;1988;16.6
NAP;1989;11.4
NAP;1990;10.7
NAP;1991;8.0
NAP;1992;16.3
NAP;1993;12.4
NAP;1994;9.8
NAP;1995;9.0
NAP;1996;12.6
NAP;1997;12.4
NAP;1998;12.5
NAP;1999;12.8
NAP;2000;15.0
NAP;2001;7.2
NAP;2002;14.6
NAP;2003;17.0
NAP;2004;7.9
NAP;2005;16.5
NAP;2006;24.3
NAP;2007;10.7
NAP;2008;13.6
NAP;2009;26.5
NAP;2010;9.4
NAP;2011;14.2
NAP;2012;17.7
NAP;2013;18.5
NAP;2014;12.1
NAP;2015;13.1
NAP;2016;9.9
NAP;2017;12.3
NAP;2018;7.0
NAP;2019;11.0
NAP;2020;7.7
