 

stn;time;rhh150yx
ZER;1982;6.6
ZER;1983;7.2
ZER;1984;7.5
ZER;1985;8.4
ZER;1986;11.7
ZER;1987;6.7
ZER;1988;8.9
ZER;1989;10.1
ZER;1990;8.4
ZER;1991;8.5
ZER;1992;8.2
ZER;1993;10.1
ZER;1994;11.3
ZER;1995;6.1
ZER;1996;7.1
ZER;1997;7.1
ZER;1998;8.1
ZER;1999;10.7
ZER;2000;9.9
ZER;2001;8.7
ZER;2002;8.8
ZER;2003;10.3
ZER;2004;7.6
ZER;2005;7.0
ZER;2006;6.9
ZER;2007;8.5
ZER;2008;7.2
ZER;2009;9.1
ZER;2010;17.8
ZER;2011;6.3
ZER;2012;4.5
ZER;2013;9.4
ZER;2014;8.4
ZER;2015;7.1
ZER;2016;7.7
ZER;2017;8.1
ZER;2018;9.1
ZER;2019;7.2
ZER;2020;6.0
