Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94913

Filename                                Filetype  Station                              Parameter                                                   Period
order_94913_BSW_rti150yx_1_legend.txt   Legend    Bad Schwendi                         Precipitation; date of the maximum daily total of the year  1973-2004
order_94913_BAL_rti150yx_1_data.txt     Data      Balmberg                             Precipitation; date of the maximum daily total of the year  1973-1995
order_94913_BAL_rti150yx_1_legend.txt   Legend    Balmberg                             Precipitation; date of the maximum daily total of the year  1973-1995
order_94913_VSBAS_rti150yx_1_data.txt   Data      Baltschiedertal                      Precipitation; date of the maximum daily total of the year  2011-2012
order_94913_VSBAS_rti150yx_1_legend.txt Legend    Baltschiedertal                      Precipitation; date of the maximum daily total of the year  2011-2012
order_94913_VSBAS_rti150yx_2_data.txt   Data      Baltschiedertal                      Precipitation; date of the maximum daily total of the year  2013-2018
order_94913_VSBAS_rti150yx_2_legend.txt Legend    Baltschiedertal                      Precipitation; date of the maximum daily total of the year  2013-2018
order_94913_BEA_rti150yx_1_data.txt     Data      Beatenberg                           Precipitation; date of the maximum daily total of the year  1960-1980
order_94913_BEA_rti150yx_1_legend.txt   Legend    Beatenberg                           Precipitation; date of the maximum daily total of the year  1960-1980
order_94913_TIBED_rti150yx_1_data.txt   Data      Bedretto                             Precipitation; date of the maximum daily total of the year  1982-1996
order_94913_TIBED_rti150yx_1_legend.txt Legend    Bedretto                             Precipitation; date of the maximum daily total of the year  1982-1996
order_94913_TIBED_rti150yx_2_data.txt   Data      Bedretto                             Precipitation; date of the maximum daily total of the year  1999-2020
order_94913_TIBED_rti150yx_2_legend.txt Legend    Bedretto                             Precipitation; date of the maximum daily total of the year  1999-2020
order_94913_LAT_rti150yx_1_data.txt     Data      Bergün / Latsch                      Precipitation; date of the maximum daily total of the year  1972-2004
order_94913_LAT_rti150yx_1_legend.txt   Legend    Bergün / Latsch                      Precipitation; date of the maximum daily total of the year  1972-2004
order_94913_LAT_rti150yx_2_data.txt     Data      Bergün / Latsch                      Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_LAT_rti150yx_2_legend.txt   Legend    Bergün / Latsch                      Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_WSLBTB_rti150yx_1_data.txt  Data      Bettlachstock Bestand                Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLBTB_rti150yx_1_legend.txt Legend    Bettlachstock Bestand                Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLBTF_rti150yx_1_data.txt  Data      Bettlachstock Freiland               Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLBTF_rti150yx_1_legend.txt Legend    Bettlachstock Freiland               Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_TIBIA_rti150yx_1_data.txt   Data      Biasca / Pontirone                   Precipitation; date of the maximum daily total of the year  2007-2020
order_94913_TIBIA_rti150yx_1_legend.txt Legend    Biasca / Pontirone                   Precipitation; date of the maximum daily total of the year  2007-2020
order_94913_BIN_rti150yx_1_data.txt     Data      Binn                                 Precipitation; date of the maximum daily total of the year  1899-1910
order_94913_BIN_rti150yx_1_legend.txt   Legend    Binn                                 Precipitation; date of the maximum daily total of the year  1899-1910
order_94913_BIN_rti150yx_2_data.txt     Data      Binn                                 Precipitation; date of the maximum daily total of the year  1911-2008
order_94913_BIN_rti150yx_2_legend.txt   Legend    Binn                                 Precipitation; date of the maximum daily total of the year  1911-2008
order_94913_BIN_rti150yx_3_data.txt     Data      Binn                                 Precipitation; date of the maximum daily total of the year  2009-2020
order_94913_BIN_rti150yx_3_legend.txt   Legend    Binn                                 Precipitation; date of the maximum daily total of the year  2009-2020
order_94913_BLA_rti150yx_1_data.txt     Data      Blatten, Lötschental                 Precipitation; date of the maximum daily total of the year  2001-2020
order_94913_BLA_rti150yx_1_legend.txt   Legend    Blatten, Lötschental                 Precipitation; date of the maximum daily total of the year  2001-2020
order_94913_VSBLI_rti150yx_1_data.txt   Data      Blinnen                              Precipitation; date of the maximum daily total of the year  2014-2017
order_94913_VSBLI_rti150yx_1_legend.txt Legend    Blinnen                              Precipitation; date of the maximum daily total of the year  2014-2017
order_94913_VSBLI_rti150yx_2_data.txt   Data      Blinnen                              Precipitation; date of the maximum daily total of the year  2018-2020
order_94913_VSBLI_rti150yx_2_legend.txt Legend    Blinnen                              Precipitation; date of the maximum daily total of the year  2018-2020
order_94913_BOS_rti150yx_1_data.txt     Data      Bosco/Gurin                          Precipitation; date of the maximum daily total of the year  1958-2020
order_94913_BOS_rti150yx_1_legend.txt   Legend    Bosco/Gurin                          Precipitation; date of the maximum daily total of the year  1958-2020
order_94913_BRA_rti150yx_1_data.txt     Data      Braggio                              Precipitation; date of the maximum daily total of the year  1900-1960
order_94913_BRA_rti150yx_1_legend.txt   Legend    Braggio                              Precipitation; date of the maximum daily total of the year  1900-1960
order_94913_BRA_rti150yx_2_data.txt     Data      Braggio                              Precipitation; date of the maximum daily total of the year  1963-1967
order_94913_BRA_rti150yx_2_legend.txt   Legend    Braggio                              Precipitation; date of the maximum daily total of the year  1963-1967
order_94913_BRA_rti150yx_3_data.txt     Data      Braggio                              Precipitation; date of the maximum daily total of the year  1969-2010
order_94913_BRA_rti150yx_3_legend.txt   Legend    Braggio                              Precipitation; date of the maximum daily total of the year  1969-2010
order_94913_BRA_rti150yx_4_data.txt     Data      Braggio                              Precipitation; date of the maximum daily total of the year  2011-2012
order_94913_BRA_rti150yx_4_legend.txt   Legend    Braggio                              Precipitation; date of the maximum daily total of the year  2011-2012
order_94913_BRA_rti150yx_5_data.txt     Data      Braggio                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BRA_rti150yx_5_legend.txt   Legend    Braggio                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BRW_rti150yx_1_data.txt     Data      Braunwald                            Precipitation; date of the maximum daily total of the year  1918-2020
order_94913_BRW_rti150yx_1_legend.txt   Legend    Braunwald                            Precipitation; date of the maximum daily total of the year  1918-2020
order_94913_FRE_rti150yx_1_data.txt     Data      Bullet / La Frétaz                   Precipitation; date of the maximum daily total of the year  1977-2020
order_94913_FRE_rti150yx_1_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; date of the maximum daily total of the year  1977-2020
order_94913_TICVM_rti150yx_1_data.txt   Data      Campo Vallemaggia                    Precipitation; date of the maximum daily total of the year  2001-2016
order_94913_TICVM_rti150yx_1_legend.txt Legend    Campo Vallemaggia                    Precipitation; date of the maximum daily total of the year  2001-2016
order_94913_TICVM_rti150yx_2_data.txt   Data      Campo Vallemaggia                    Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_TICVM_rti150yx_2_legend.txt Legend    Campo Vallemaggia                    Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_VSCHY_rti150yx_1_data.txt   Data      Champéry                             Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_VSCHY_rti150yx_1_legend.txt Legend    Champéry                             Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_MMCPY_rti150yx_1_data.txt   Data      Champéry                             Precipitation; date of the maximum daily total of the year  2016-2020
order_94913_MMCPY_rti150yx_1_legend.txt Legend    Champéry                             Precipitation; date of the maximum daily total of the year  2016-2020
order_94913_CHM_rti150yx_1_data.txt     Data      Chaumont                             Precipitation; date of the maximum daily total of the year  1863-1886
order_94913_CHM_rti150yx_1_legend.txt   Legend    Chaumont                             Precipitation; date of the maximum daily total of the year  1863-1886
order_94913_CHM_rti150yx_2_data.txt     Data      Chaumont                             Precipitation; date of the maximum daily total of the year  1887-2020
order_94913_CHM_rti150yx_2_legend.txt   Legend    Chaumont                             Precipitation; date of the maximum daily total of the year  1887-2020
order_94913_NABCHA_rti150yx_1_data.txt  Data      Chaumont / Bosset                    Precipitation; date of the maximum daily total of the year  2009-2014
order_94913_NABCHA_rti150yx_1_legend.txt Legend    Chaumont / Bosset                    Precipitation; date of the maximum daily total of the year  2009-2014
order_94913_TICHI_rti150yx_1_data.txt   Data      Chironico                            Precipitation; date of the maximum daily total of the year  2011-2020
order_94913_TICHI_rti150yx_1_legend.txt Legend    Chironico                            Precipitation; date of the maximum daily total of the year  2011-2020
order_94913_WSLCIB_rti150yx_1_data.txt  Data      Chironico Bestand                    Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLCIB_rti150yx_1_legend.txt Legend    Chironico Bestand                    Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLCIF_rti150yx_1_data.txt  Data      Chironico Freiland                   Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_WSLCIF_rti150yx_1_legend.txt Legend    Chironico Freiland                   Precipitation; date of the maximum daily total of the year  2017-2018
order_94913_CTB_rti150yx_1_data.txt     Data      Chuttelbad                           Precipitation; date of the maximum daily total of the year  1971-1977
order_94913_CTB_rti150yx_1_legend.txt   Legend    Chuttelbad                           Precipitation; date of the maximum daily total of the year  1971-1977
order_94913_CDM_rti150yx_1_data.txt     Data      Col des Mosses                       Precipitation; date of the maximum daily total of the year  1971-2020
order_94913_CDM_rti150yx_1_legend.txt   Legend    Col des Mosses                       Precipitation; date of the maximum daily total of the year  1971-2020
order_94913_TICOL_rti150yx_1_data.txt   Data      Colla                                Precipitation; date of the maximum daily total of the year  2006-2020
order_94913_TICOL_rti150yx_1_legend.txt Legend    Colla                                Precipitation; date of the maximum daily total of the year  2006-2020
order_94913_VSDER_rti150yx_1_data.txt   Data      Derborence                           Precipitation; date of the maximum daily total of the year  2012-2020
order_94913_VSDER_rti150yx_1_legend.txt Legend    Derborence                           Precipitation; date of the maximum daily total of the year  2012-2020
order_94913_IYDEU_rti150yx_1_data.txt   Data      Deutschnofen                         Precipitation; date of the maximum daily total of the year  1926-1938
order_94913_IYDEU_rti150yx_1_legend.txt Legend    Deutschnofen                         Precipitation; date of the maximum daily total of the year  1926-1938
order_94913_IYDEU_rti150yx_2_data.txt   Data      Deutschnofen                         Precipitation; date of the maximum daily total of the year  1939-1943
order_94913_IYDEU_rti150yx_2_legend.txt Legend    Deutschnofen                         Precipitation; date of the maximum daily total of the year  1939-1943
order_94913_IYDEU_rti150yx_3_data.txt   Data      Deutschnofen                         Precipitation; date of the maximum daily total of the year  1981-1982
order_94913_IYDEU_rti150yx_3_legend.txt Legend    Deutschnofen                         Precipitation; date of the maximum daily total of the year  1981-1982
order_94913_IYDEU_rti150yx_4_data.txt   Data      Deutschnofen                         Precipitation; date of the maximum daily total of the year  1990-2019
order_94913_IYDEU_rti150yx_4_legend.txt Legend    Deutschnofen                         Precipitation; date of the maximum daily total of the year  1990-2019
order_94913_DIS_rti150yx_1_data.txt     Data      Disentis                             Precipitation; date of the maximum daily total of the year  1958-2016
order_94913_DIS_rti150yx_1_legend.txt   Legend    Disentis                             Precipitation; date of the maximum daily total of the year  1958-2016
order_94913_DIS_rti150yx_2_data.txt     Data      Disentis                             Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_DIS_rti150yx_2_legend.txt   Legend    Disentis                             Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_VSDUR_rti150yx_1_data.txt   Data      Durnand                              Precipitation; date of the maximum daily total of the year  2012-2020
order_94913_VSDUR_rti150yx_1_legend.txt Legend    Durnand                              Precipitation; date of the maximum daily total of the year  2012-2020
order_94913_EIT_rti150yx_1_data.txt     Data      Eigenthal                            Precipitation; date of the maximum daily total of the year  1900-1913
order_94913_EIT_rti150yx_1_legend.txt   Legend    Eigenthal                            Precipitation; date of the maximum daily total of the year  1900-1913
order_94913_EIT_rti150yx_2_data.txt     Data      Eigenthal                            Precipitation; date of the maximum daily total of the year  1914-1929
order_94913_EIT_rti150yx_2_legend.txt   Legend    Eigenthal                            Precipitation; date of the maximum daily total of the year  1914-1929
order_94913_EIT_rti150yx_3_data.txt     Data      Eigenthal                            Precipitation; date of the maximum daily total of the year  1930-2020
