 

stn;time;hns000y0
SAM;1980;257
SAM;1981;451
SAM;1982;256
SAM;1983;326
SAM;1984;311
SAM;1985;298
SAM;1986;284
SAM;1987;198
SAM;1988;189
SAM;1989;191
SAM;1990;278
SAM;1991;258
SAM;1992;189
SAM;1993;129
SAM;1994;160
SAM;1995;232
SAM;1996;258
SAM;1997;277
SAM;1998;141
SAM;1999;353
SAM;2000;296
SAM;2001;392
SAM;2002;259
SAM;2003;186
SAM;2004;246
SAM;2005;149
SAM;2006;126
SAM;2007;241
SAM;2008;368
SAM;2009;338
SAM;2010;240
SAM;2011;198
SAM;2012;315
SAM;2013;298
SAM;2014;403
SAM;2015;153
SAM;2016;213
SAM;2017;244
SAM;2018;320
SAM;2019;393
SAM;2020;312
