 

stn;time;rzz150yx
COV;1981;5.0
COV;1982;4.2
COV;1983;3.3
COV;1984;4.6
COV;1985;7.7
COV;1986;4.4
COV;1987;4.4
COV;1988;8.4
COV;1989;5.4
COV;1990;3.9
COV;1991;2.4
COV;1992;3.9
COV;1993;4.7
COV;1994;3.8
COV;1995;2.8
COV;1996;3.0
COV;1997;3.1
COV;1998;5.3
COV;1999;5.4
COV;2000;2.8
COV;2001;4.2
COV;2002;4.0
COV;2003;4.4
COV;2004;3.4
COV;2005;3.9
COV;2006;3.7
COV;2007;4.2
COV;2008;6.2
COV;2009;7.9
COV;2010;3.3
COV;2011;2.9
COV;2012;6.1
COV;2013;2.9
COV;2014;2.6
COV;2015;6.0
COV;2016;4.2
COV;2017;2.6
