Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_VDBAU_rre003mx_1_legend.txt Legend    Baulmes                              Precipitation; maximum 3-day total of the month             201212-202105
order_95481_BNW_rre003mx_1_data.txt     Data      Bennwil BL                           Precipitation; maximum 3-day total of the month             190001-199506
order_95481_BNW_rre003mx_1_legend.txt   Legend    Bennwil BL                           Precipitation; maximum 3-day total of the month             190001-199506
order_95481_VDBER_rre003mx_1_data.txt   Data      Bercher                              Precipitation; maximum 3-day total of the month             201212-202105
order_95481_VDBER_rre003mx_1_legend.txt Legend    Bercher                              Precipitation; maximum 3-day total of the month             201212-202105
order_95481_MMBDK_rre003mx_1_data.txt   Data      Bergdietikon                         Precipitation; maximum 3-day total of the month             201312-201408
order_95481_MMBDK_rre003mx_1_legend.txt Legend    Bergdietikon                         Precipitation; maximum 3-day total of the month             201312-201408
order_95481_BER_rre003mx_1_data.txt     Data      Bern / Zollikofen                    Precipitation; maximum 3-day total of the month             186312-202105
order_95481_BER_rre003mx_1_legend.txt   Legend    Bern / Zollikofen                    Precipitation; maximum 3-day total of the month             186312-202105
order_95481_NABBER_rre003mx_1_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199102-199109
order_95481_NABBER_rre003mx_1_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199102-199109
order_95481_NABBER_rre003mx_2_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199111-199210
order_95481_NABBER_rre003mx_2_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199111-199210
order_95481_NABBER_rre003mx_3_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199211-199307
order_95481_NABBER_rre003mx_3_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199211-199307
order_95481_NABBER_rre003mx_4_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199310-199312
order_95481_NABBER_rre003mx_4_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199310-199312
order_95481_NABBER_rre003mx_5_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199503-199504
order_95481_NABBER_rre003mx_5_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199503-199504
order_95481_NABBER_rre003mx_6_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199505-199603
order_95481_NABBER_rre003mx_6_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199505-199603
order_95481_NABBER_rre003mx_7_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199605-199706
order_95481_NABBER_rre003mx_7_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             199605-199706
order_95481_NABBER_rre003mx_8_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             200012-200104
order_95481_NABBER_rre003mx_8_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             200012-200104
order_95481_NABBER_rre003mx_9_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             200105-201710
order_95481_NABBER_rre003mx_9_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             200105-201710
order_95481_NABBER_rre003mx_10_data.txt Data      Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             201711-202105
order_95481_NABBER_rre003mx_10_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum 3-day total of the month             201711-202105
