 

stn;time;hns000y0
KRZ;1931;125
KRZ;1932;45
KRZ;1933;52
KRZ;1934;32
KRZ;1935;115
KRZ;1936;19
KRZ;1937;112
KRZ;1938;58
KRZ;1939;77
KRZ;1940;91
KRZ;1941;92
KRZ;1942;112
KRZ;1943;52
KRZ;1944;66
KRZ;1945;56
KRZ;1946;28
KRZ;1947;85
KRZ;1948;8
KRZ;1949;26
KRZ;1950;43
KRZ;1951;11
KRZ;1952;106
KRZ;1953;66
KRZ;1954;35
KRZ;1955;41
KRZ;1956;33
KRZ;1957;8
KRZ;1958;55
KRZ;1959;50
KRZ;1960;32
KRZ;1961;9
KRZ;1962;79
KRZ;1963;36
KRZ;1964;66
KRZ;1965;81
KRZ;1966;69
KRZ;1967;33
KRZ;1968;74
KRZ;1969;85
KRZ;1970;67
KRZ;1971;22
KRZ;1972;16
KRZ;1973;56
KRZ;1974;7
KRZ;1975;16
