 

stn;time;rhh150yx
PAY;1981;8.2
PAY;1982;16.9
PAY;1983;42.0
PAY;1984;15.4
PAY;1985;21.5
PAY;1986;18.7
PAY;1987;16.1
PAY;1988;15.3
PAY;1989;8.8
PAY;1990;15.6
PAY;1991;27.3
PAY;1992;10.0
PAY;1993;21.1
PAY;1994;27.4
PAY;1995;60.4
PAY;1996;26.5
PAY;1997;38.5
PAY;1998;37.0
PAY;1999;16.7
PAY;2000;20.5
PAY;2001;12.9
PAY;2002;25.5
PAY;2003;15.7
PAY;2004;11.8
PAY;2005;17.1
PAY;2006;12.8
PAY;2007;23.0
PAY;2008;14.7
PAY;2009;14.7
PAY;2010;8.6
PAY;2011;9.9
PAY;2012;16.7
PAY;2013;11.5
PAY;2014;26.4
PAY;2015;14.9
PAY;2016;12.6
PAY;2017;8.5
PAY;2018;34.8
PAY;2019;27.2
PAY;2020;28.5
