 

stn;time;rsd300y0
SUS;1915;0
SUS;1916;2
SUS;1917;2
SUS;1918;3
SUS;1919;0
SUS;1920;3
SUS;1921;0
SUS;1922;1
SUS;1923;1
SUS;1924;3
SUS;1925;1
SUS;1926;1
SUS;1927;1
SUS;1928;3
SUS;1929;4
SUS;1930;0
SUS;1931;5
SUS;1932;1
SUS;1933;1
SUS;1934;3
SUS;1935;1
SUS;1936;3
SUS;1937;0
SUS;1938;0
SUS;1939;3
SUS;1940;4
SUS;1941;0
SUS;1942;2
SUS;1943;1
SUS;1944;2
SUS;1945;2
SUS;1946;0
SUS;1947;2
SUS;1948;3
SUS;1949;1
SUS;1950;2
SUS;1951;3
SUS;1952;2
SUS;1953;0
SUS;1954;6
SUS;1955;0
SUS;1956;2
SUS;1957;3
SUS;1958;0
SUS;1959;1
SUS;1960;3
SUS;1961;1
SUS;1962;0
SUS;1963;2
SUS;1964;0
SUS;1965;1
SUS;1966;4
SUS;1967;1
SUS;1968;0
SUS;1969;2
SUS;1970;1
SUS;1971;2
SUS;1972;1
SUS;1973;2
SUS;1974;1
SUS;1975;2
SUS;1976;2
SUS;1977;2
SUS;1978;2
SUS;1979;6
SUS;1980;3
SUS;1981;5
SUS;1982;1
SUS;1983;5
SUS;1984;2
SUS;1985;3
SUS;1986;1
SUS;1987;4
SUS;1988;4
SUS;1989;1
SUS;1990;7
SUS;1991;5
SUS;1992;6
SUS;1993;2
SUS;1994;3
SUS;1995;2
SUS;1996;5
SUS;1997;3
SUS;1998;0
SUS;1999;6
SUS;2000;8
SUS;2001;10
SUS;2002;9
SUS;2003;2
SUS;2004;1
SUS;2005;2
SUS;2006;1
SUS;2007;0
SUS;2008;5
SUS;2009;5
SUS;2010;3
SUS;2011;3
SUS;2012;3
SUS;2013;3
SUS;2014;4
SUS;2015;1
SUS;2016;4
SUS;2017;2
SUS;2018;3
SUS;2019;3
SUS;2020;3
