Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94093

Filename                                Filetype  Station                              Parameter                                                   Period
order_94093_VDFOL_rre150m0_5_legend.txt Legend    Forel                                Precipitation; monthly total                                200104-200111
order_94093_VDFOL_rre150m0_6_data.txt   Data      Forel                                Precipitation; monthly total                                200201-200203
order_94093_VDFOL_rre150m0_6_legend.txt Legend    Forel                                Precipitation; monthly total                                200201-200203
order_94093_VDFOL_rre150m0_7_data.txt   Data      Forel                                Precipitation; monthly total                                200204-200207
order_94093_VDFOL_rre150m0_7_legend.txt Legend    Forel                                Precipitation; monthly total                                200204-200207
order_94093_VDFOL_rre150m0_8_data.txt   Data      Forel                                Precipitation; monthly total                                200209-200211
order_94093_VDFOL_rre150m0_8_legend.txt Legend    Forel                                Precipitation; monthly total                                200209-200211
order_94093_VDFOL_rre150m0_9_data.txt   Data      Forel                                Precipitation; monthly total                                200302-200310
order_94093_VDFOL_rre150m0_9_legend.txt Legend    Forel                                Precipitation; monthly total                                200302-200310
order_94093_VDFOL_rre150m0_10_data.txt  Data      Forel                                Precipitation; monthly total                                200403-200410
order_94093_VDFOL_rre150m0_10_legend.txt Legend    Forel                                Precipitation; monthly total                                200403-200410
order_94093_VDFOL_rre150m0_11_data.txt  Data      Forel                                Precipitation; monthly total                                200505-200510
order_94093_VDFOL_rre150m0_11_legend.txt Legend    Forel                                Precipitation; monthly total                                200505-200510
order_94093_VDFOL_rre150m0_12_data.txt  Data      Forel                                Precipitation; monthly total                                200512-200601
order_94093_VDFOL_rre150m0_12_legend.txt Legend    Forel                                Precipitation; monthly total                                200512-200601
order_94093_VDFOL_rre150m0_13_data.txt  Data      Forel                                Precipitation; monthly total                                200604-200606
order_94093_VDFOL_rre150m0_13_legend.txt Legend    Forel                                Precipitation; monthly total                                200604-200606
order_94093_VDFOL_rre150m0_14_data.txt  Data      Forel                                Precipitation; monthly total                                200607-200612
order_94093_VDFOL_rre150m0_14_legend.txt Legend    Forel                                Precipitation; monthly total                                200607-200612
order_94093_VDFOL_rre150m0_15_data.txt  Data      Forel                                Precipitation; monthly total                                200701-200705
order_94093_VDFOL_rre150m0_15_legend.txt Legend    Forel                                Precipitation; monthly total                                200701-200705
order_94093_VDFOL_rre150m0_16_data.txt  Data      Forel                                Precipitation; monthly total                                200708-200804
order_94093_VDFOL_rre150m0_16_legend.txt Legend    Forel                                Precipitation; monthly total                                200708-200804
order_94093_VDFOL_rre150m0_17_data.txt  Data      Forel                                Precipitation; monthly total                                200805-200806
order_94093_VDFOL_rre150m0_17_legend.txt Legend    Forel                                Precipitation; monthly total                                200805-200806
order_94093_VDFOL_rre150m0_18_data.txt  Data      Forel                                Precipitation; monthly total                                200807-200809
order_94093_VDFOL_rre150m0_18_legend.txt Legend    Forel                                Precipitation; monthly total                                200807-200809
order_94093_VDFOL_rre150m0_19_data.txt  Data      Forel                                Precipitation; monthly total                                200902-200912
order_94093_VDFOL_rre150m0_19_legend.txt Legend    Forel                                Precipitation; monthly total                                200902-200912
order_94093_VDFOL_rre150m0_20_data.txt  Data      Forel                                Precipitation; monthly total                                201001-201010
order_94093_VDFOL_rre150m0_20_legend.txt Legend    Forel                                Precipitation; monthly total                                201001-201010
order_94093_VDFOL_rre150m0_21_data.txt  Data      Forel                                Precipitation; monthly total                                201012-201111
order_94093_VDFOL_rre150m0_21_legend.txt Legend    Forel                                Precipitation; monthly total                                201012-201111
order_94093_VDFOL_rre150m0_22_data.txt  Data      Forel                                Precipitation; monthly total                                201112-201205
order_94093_VDFOL_rre150m0_22_legend.txt Legend    Forel                                Precipitation; monthly total                                201112-201205
order_94093_VDFOL_rre150m0_23_data.txt  Data      Forel                                Precipitation; monthly total                                201206-201207
order_94093_VDFOL_rre150m0_23_legend.txt Legend    Forel                                Precipitation; monthly total                                201206-201207
order_94093_VDFOL_rre150m0_24_data.txt  Data      Forel                                Precipitation; monthly total                                201208-202103
order_94093_VDFOL_rre150m0_24_legend.txt Legend    Forel                                Precipitation; monthly total                                201208-202103
order_94093_DLGEI_rre150m0_1_data.txt   Data      Geisingen                            Precipitation; monthly total                                193612-194412
order_94093_DLGEI_rre150m0_1_legend.txt Legend    Geisingen                            Precipitation; monthly total                                193612-194412
