 

stn;time;tnd00xy0
DIS;1959;16
DIS;1960;25
DIS;1961;15
DIS;1962;37
DIS;1963;47
DIS;1964;17
DIS;1965;40
DIS;1966;28
DIS;1967;31
DIS;1968;28
DIS;1969;35
DIS;1970;30
DIS;1971;28
DIS;1972;11
DIS;1973;25
DIS;1974;19
DIS;1975;16
DIS;1976;36
DIS;1977;28
DIS;1978;29
DIS;1979;38
DIS;1980;35
DIS;1981;59
DIS;1982;23
DIS;1983;30
DIS;1984;41
DIS;1985;53
DIS;1986;39
DIS;1987;40
DIS;1988;39
DIS;1989;5
DIS;1990;27
DIS;1991;26
DIS;1992;23
DIS;1993;33
DIS;1994;23
DIS;1995;32
DIS;1996;33
DIS;1997;12
DIS;1998;28
DIS;1999;45
DIS;2000;20
DIS;2001;32
DIS;2002;6
DIS;2003;36
DIS;2004;44
DIS;2005;61
DIS;2006;32
DIS;2007;21
DIS;2008;20
DIS;2009;38
DIS;2010;53
DIS;2011;19
DIS;2012;44
DIS;2013;38
DIS;2014;14
DIS;2015;26
DIS;2016;15
DIS;2017;31
DIS;2018;29
DIS;2019;24
DIS;2020;12
