 

stn;time;rzz150yx
ZER;1982;2.0
ZER;1983;2.8
ZER;1984;2.2
ZER;1985;2.3
ZER;1986;7.8
ZER;1987;5.4
ZER;1988;4.3
ZER;1989;4.6
ZER;1990;5.3
ZER;1991;2.7
ZER;1992;1.8
ZER;1993;2.6
ZER;1994;6.7
ZER;1995;4.5
ZER;1996;3.3
ZER;1997;2.4
ZER;1998;4.1
ZER;1999;4.1
ZER;2000;2.4
ZER;2001;2.9
ZER;2002;2.2
ZER;2003;7.2
ZER;2004;4.0
ZER;2005;2.6
ZER;2006;2.4
ZER;2007;2.5
ZER;2008;2.7
ZER;2009;4.7
ZER;2010;10.6
ZER;2011;3.8
ZER;2012;2.5
ZER;2013;4.6
ZER;2014;2.8
ZER;2015;2.5
ZER;2016;2.3
ZER;2017;3.3
ZER;2018;1.9
ZER;2019;3.6
ZER;2020;3.5
