 

stn;time;rzz150yx
WAE;1981;8.0
WAE;1982;15.1
WAE;1983;21.9
WAE;1984;9.2
WAE;1985;6.1
WAE;1986;7.6
WAE;1987;9.8
WAE;1988;11.4
WAE;1989;18.2
WAE;1990;8.2
WAE;1991;8.9
WAE;1992;9.6
WAE;1993;12.6
WAE;1994;19.6
WAE;1995;12.8
WAE;1996;10.1
WAE;1997;8.6
WAE;1998;6.4
WAE;1999;7.3
WAE;2000;13.5
WAE;2001;5.7
WAE;2002;9.7
WAE;2003;10.9
WAE;2004;15.6
WAE;2005;9.0
WAE;2006;11.4
WAE;2007;12.7
WAE;2008;13.5
WAE;2009;12.7
WAE;2010;14.7
WAE;2011;15.4
WAE;2012;10.4
WAE;2013;13.6
WAE;2014;19.9
WAE;2015;17.4
WAE;2016;16.8
WAE;2017;9.0
WAE;2018;18.3
WAE;2019;20.6
WAE;2020;9.1
