 

stn;time;tre200y0
KOP;1961;9.2
KOP;1962;7.3
KOP;1963;7.0
KOP;1964;8.3
KOP;1965;7.5
KOP;1966;8.6
KOP;1967;8.5
KOP;1968;8.1
KOP;1969;7.7
KOP;1970;7.8
KOP;1971;7.9
KOP;1972;7.7
KOP;1973;7.9
KOP;1974;8.8
KOP;1975;8.6
KOP;1976;8.4
KOP;1977;8.7
KOP;1978;8.0
KOP;1979;8.6
KOP;1980;7.9
KOP;1981;8.5
KOP;1982;9.2
KOP;1983;9.0
KOP;1984;8.1
KOP;1985;8.0
KOP;1986;8.3
KOP;1987;8.5
KOP;1988;9.4
KOP;1989;9.2
KOP;1990;9.5
KOP;1991;8.6
KOP;1992;9.3
KOP;1993;8.9
KOP;1994;10.4
KOP;1995;9.2
KOP;1996;8.3
KOP;1997;9.3
KOP;1998;9.2
KOP;1999;9.1
KOP;2000;10.0
KOP;2001;9.5
KOP;2002;9.8
KOP;2003;9.9
KOP;2004;9.3
KOP;2005;8.9
KOP;2006;9.6
KOP;2007;10.0
KOP;2008;9.4
KOP;2009;9.6
KOP;2010;8.6
KOP;2011;10.1
KOP;2012;9.1
KOP;2013;8.8
KOP;2014;10.1
KOP;2015;9.9
KOP;2016;9.4
KOP;2017;9.6
KOP;2018;10.4
KOP;2019;9.9
KOP;2020;10.3
