 

stn;time;rre150y0
DLHOH;1879;1095.6
DLHOH;1880;1219.1
DLHOH;1881;924.2
DLHOH;1882;1055.9
DLHOH;1883;1037.2
DLHOH;1884;1039.4
DLHOH;1885;1005.3
DLHOH;1886;972.0
DLHOH;1887;878.7
DLHOH;1888;1107.9
DLHOH;1889;1101.9
DLHOH;1890;1066.4
DLHOH;1891;985.1
DLHOH;1892;1175.7
DLHOH;1893;893.5
DLHOH;1894;945.5
DLHOH;1895;914.8
DLHOH;1896;1202.6
DLHOH;1897;1158.5
DLHOH;1898;1015.3
DLHOH;1899;989.5
DLHOH;1900;1042.0
DLHOH;1901;898.4
DLHOH;1902;853.2
DLHOH;1903;803.1
DLHOH;1904;1035.5
DLHOH;1905;1014.9
DLHOH;1906;1031.8
DLHOH;1907;972.2
DLHOH;1908;942.3
DLHOH;1909;973.7
DLHOH;1910;1478.7
DLHOH;1911;1034.7
DLHOH;1912;1416.4
DLHOH;1913;1260.3
DLHOH;1914;1062.4
DLHOH;1915;1241.8
DLHOH;1916;1265.5
DLHOH;1917;1007.8
DLHOH;1918;1157.5
DLHOH;1919;1163.5
DLHOH;1920;1141.5
DLHOH;1921;1095.7
DLHOH;1922;1532.5
DLHOH;1923;1094.2
DLHOH;1924;1191.9
DLHOH;1925;894.6
DLHOH;1926;964.8
DLHOH;1927;1076.6
DLHOH;1928;894.2
DLHOH;1929;892.9
DLHOH;1930;1137.3
DLHOH;1931;1073.3
DLHOH;1932;1183.7
DLHOH;1933;1301.9
DLHOH;1934;1032.1
DLHOH;1935;1194.2
DLHOH;1936;1418.7
DLHOH;1937;1328.5
DLHOH;1938;1199.5
DLHOH;1939;1572.4
DLHOH;1940;1348.6
DLHOH;1941;1230.8
DLHOH;1942;904.0
DLHOH;1943;779.8
DLHOH;1944;1392.8
DLHOH;1945;980.8
DLHOH;1946;1034.6
DLHOH;1947;867.2
DLHOH;1948;1001.4
DLHOH;1949;1038.4
DLHOH;1950;955.1
DLHOH;1951;1098.3
DLHOH;1952;1183.2
DLHOH;1953;958.6
DLHOH;1954;1308.8
DLHOH;1955;1293.6
DLHOH;1956;1266.0
DLHOH;1957;1180.2
DLHOH;1958;1171.4
DLHOH;1959;910.0
DLHOH;1960;1236.0
DLHOH;1961;1059.1
DLHOH;1962;1063.6
DLHOH;1963;1159.6
DLHOH;1964;1180.5
DLHOH;1965;1509.2
DLHOH;1966;1491.0
DLHOH;1967;1224.5
DLHOH;1968;1207.4
DLHOH;1969;1066.8
DLHOH;1970;1261.6
DLHOH;1971;1047.5
DLHOH;1972;902.4
DLHOH;1973;1116.1
DLHOH;1974;1308.9
DLHOH;1975;1115.4
DLHOH;1976;913.6
DLHOH;1977;1326.6
DLHOH;1978;1326.0
DLHOH;1979;1519.4
DLHOH;1980;1209.1
DLHOH;1981;1449.3
DLHOH;1982;1216.5
DLHOH;1983;1137.5
DLHOH;1984;1046.5
DLHOH;1985;1155.0
DLHOH;1986;1124.3
DLHOH;1987;1190.4
DLHOH;1988;1345.0
DLHOH;1989;1184.4
DLHOH;1990;1437.1
DLHOH;1991;977.9
DLHOH;1992;1174.1
DLHOH;1993;1345.9
DLHOH;1994;1046.2
DLHOH;1995;1218.6
DLHOH;1996;1082.6
DLHOH;1997;963.1
DLHOH;1998;1041.7
DLHOH;1999;1529.0
DLHOH;2000;1310.9
DLHOH;2001;1277.5
DLHOH;2002;1338.5
DLHOH;2003;836.9
DLHOH;2004;1061.0
DLHOH;2005;1130.3
DLHOH;2006;1112.0
DLHOH;2007;1297.0
DLHOH;2008;1040.6
DLHOH;2009;1030.0
DLHOH;2010;1143.5
DLHOH;2011;1246.9
DLHOH;2012;1197.2
DLHOH;2013;1233.0
DLHOH;2014;1057.8
DLHOH;2015;1028.1
DLHOH;2016;1405.8
DLHOH;2017;1375.4
DLHOH;2018;1093.1
DLHOH;2019;1159.3
DLHOH;2020;1247.1
