 

stn;time;rhh150yx
BUS;1985;9.9
BUS;1986;44.7
BUS;1987;18.0
BUS;1988;16.0
BUS;1989;15.7
BUS;1990;32.7
BUS;1991;10.5
BUS;1992;23.4
BUS;1993;23.2
BUS;1994;26.0
BUS;1995;27.1
BUS;1996;15.2
BUS;1997;17.4
BUS;1998;17.8
BUS;1999;23.4
BUS;2000;14.9
BUS;2001;11.0
BUS;2002;24.5
BUS;2003;16.1
BUS;2004;28.4
BUS;2005;18.6
BUS;2006;33.7
BUS;2007;15.6
BUS;2008;18.2
BUS;2009;17.4
BUS;2010;19.1
BUS;2011;16.4
BUS;2012;13.5
BUS;2013;28.2
BUS;2014;18.3
BUS;2015;8.2
BUS;2016;20.1
BUS;2017;21.7
BUS;2018;24.3
BUS;2019;11.5
BUS;2020;46.5
