 

stn;time;rzz150yx
MVE;1982;6.8
MVE;1983;2.9
MVE;1984;3.2
MVE;1985;2.4
MVE;1986;5.8
MVE;1987;3.5
MVE;1988;5.1
MVE;1989;3.7
MVE;1990;6.2
MVE;1991;3.1
MVE;1992;5.4
MVE;1993;6.1
MVE;1994;5.8
MVE;1995;7.0
MVE;1996;5.0
MVE;1997;5.2
MVE;1998;8.6
MVE;1999;5.7
MVE;2000;3.7
MVE;2001;5.5
MVE;2002;3.7
MVE;2003;4.7
MVE;2004;3.6
MVE;2005;4.1
MVE;2006;6.6
MVE;2007;4.7
MVE;2008;3.0
MVE;2009;3.6
MVE;2010;5.7
MVE;2011;8.1
MVE;2012;5.7
MVE;2013;4.3
MVE;2014;4.5
MVE;2015;4.9
MVE;2016;4.4
MVE;2017;6.6
MVE;2018;5.9
MVE;2019;11.9
MVE;2020;4.0
