 

stn;time;hto000y0
ANT;1967;50
ANT;1968;62
ANT;1969;31
ANT;1970;52
ANT;1971;25
ANT;1972;20
ANT;1973;33
ANT;1974;41
ANT;1975;65
ANT;1976;24
ANT;1977;26
ANT;1978;40
ANT;1979;29
ANT;1980;45
ANT;1981;55
ANT;1982;57
ANT;1983;39
ANT;1984;47
ANT;1985;29
ANT;1986;40
ANT;1987;47
ANT;1988;34
ANT;1989;24
ANT;1990;19
ANT;1991;28
ANT;1992;43
ANT;1993;23
ANT;1994;23
ANT;1995;40
ANT;1996;18
ANT;1997;18
ANT;1998;23
ANT;1999;58
ANT;2000;37
ANT;2001;22
ANT;2002;20
ANT;2003;25
ANT;2004;35
ANT;2005;31
ANT;2006;33
ANT;2007;20
ANT;2008;36
ANT;2009;49
ANT;2010;28
ANT;2011;16
ANT;2012;58
ANT;2013;35
ANT;2014;25
ANT;2015;16
ANT;2016;17
ANT;2017;21
ANT;2018;41
ANT;2019;38
ANT;2020;21
