 

stn;time;rre150yx
WIW;1938;57.7
WIW;1939;40.8
WIW;1940;72.0
WIW;1941;32.0
WIW;1942;50.3
WIW;1943;28.8
WIW;1944;53.5
WIW;1945;36.0
WIW;1946;51.6
WIW;1947;33.5
WIW;1948;53.2
WIW;1949;92.0
WIW;1950;63.0
WIW;1951;32.2
WIW;1952;36.7
WIW;1953;34.1
WIW;1954;56.6
WIW;1955;50.9
WIW;1956;41.6
WIW;1957;39.2
WIW;1958;36.6
WIW;1959;35.8
WIW;1960;60.2
WIW;1961;41.0
WIW;1962;45.0
WIW;1963;42.4
WIW;1964;41.5
WIW;1965;47.7
WIW;1966;29.0
WIW;1967;56.4
WIW;1968;71.5
WIW;1969;57.0
WIW;1970;56.4
WIW;1971;47.1
WIW;1972;59.5
WIW;1973;23.5
WIW;1974;56.8
WIW;1975;37.8
WIW;1976;44.7
WIW;1977;43.9
WIW;1978;72.4
WIW;1979;46.5
WIW;1980;53.9
WIW;1981;56.0
WIW;1982;37.3
WIW;1983;55.7
WIW;1984;33.0
WIW;1985;47.4
WIW;1986;37.7
WIW;1987;82.7
WIW;1988;32.2
WIW;1989;33.2
WIW;1990;44.6
WIW;1991;62.9
WIW;1992;36.8
WIW;1993;50.3
WIW;1994;58.1
WIW;1995;33.4
WIW;1996;41.1
WIW;1997;53.0
WIW;1998;30.3
WIW;1999;41.9
WIW;2000;45.1
WIW;2001;43.2
WIW;2002;43.1
WIW;2003;45.5
WIW;2004;35.3
WIW;2005;37.8
WIW;2006;55.0
WIW;2007;102.8
WIW;2008;40.8
WIW;2009;34.8
WIW;2010;31.2
WIW;2011;41.9
WIW;2012;43.0
WIW;2013;58.3
WIW;2014;36.6
WIW;2015;47.5
WIW;2016;39.8
WIW;2017;43.0
WIW;2018;47.5
WIW;2019;55.7
WIW;2020;49.8
