 

stn;time;rre150yx
DLNUE;1956;36.7
DLNUE;1957;27.4
DLNUE;1958;27.9
DLNUE;1959;32.4
DLNUE;1960;50.0
DLNUE;1961;25.5
DLNUE;1962;22.4
DLNUE;1963;32.9
DLNUE;1964;21.3
DLNUE;1965;31.1
DLNUE;1966;24.2
DLNUE;1967;23.5
DLNUE;1968;37.7
DLNUE;1969;20.7
DLNUE;1970;31.4
DLNUE;1971;60.1
DLNUE;1972;48.3
DLNUE;1973;29.6
DLNUE;1974;37.0
DLNUE;1975;37.6
DLNUE;1976;27.4
DLNUE;1977;33.6
DLNUE;1978;77.4
DLNUE;1979;24.0
DLNUE;1980;32.9
DLNUE;1981;44.1
DLNUE;1982;32.7
DLNUE;1983;45.5
DLNUE;1984;37.7
DLNUE;1985;29.6
DLNUE;1986;42.1
DLNUE;1987;36.8
DLNUE;1988;28.9
DLNUE;1989;25.5
DLNUE;1990;33.5
DLNUE;1991;43.6
DLNUE;1992;29.6
DLNUE;1993;60.4
DLNUE;1994;40.9
DLNUE;1995;55.4
DLNUE;1996;33.6
DLNUE;1997;33.8
DLNUE;1998;34.3
DLNUE;1999;30.7
DLNUE;2000;30.1
DLNUE;2001;22.3
DLNUE;2002;24.5
DLNUE;2003;54.3
DLNUE;2004;23.6
DLNUE;2005;31.2
DLNUE;2006;20.2
DLNUE;2007;48.0
DLNUE;2008;25.1
DLNUE;2009;30.0
DLNUE;2010;39.4
DLNUE;2011;55.5
DLNUE;2012;20.5
DLNUE;2013;40.6
DLNUE;2014;61.2
DLNUE;2015;27.4
DLNUE;2016;28.3
DLNUE;2017;39.3
DLNUE;2018;36.3
DLNUE;2019;23.7
DLNUE;2020;41.7
