 

stn;time;hto000y0
ENG;1931;18
ENG;1932;3
ENG;1933;5
ENG;1934;9
ENG;1935;14
ENG;1936;3
ENG;1937;7
ENG;1938;13
ENG;1939;12
ENG;1940;13
ENG;1941;11
ENG;1942;16
ENG;1943;9
ENG;1944;23
ENG;1945;14
ENG;1946;5
ENG;1947;7
ENG;1948;1
ENG;1949;10
ENG;1950;11
ENG;1951;11
ENG;1952;20
ENG;1953;12
ENG;1954;16
ENG;1955;6
ENG;1956;7
ENG;1957;5
ENG;1958;9
ENG;1959;5
ENG;1960;4
ENG;1961;7
ENG;1962;11
ENG;1963;24
ENG;1964;4
ENG;1965;19
ENG;1966;9
ENG;1967;11
ENG;1968;28
ENG;1969;13
ENG;1970;16
ENG;1971;11
ENG;1972;4
ENG;1973;12
ENG;1974;5
ENG;1975;6
ENG;1976;9
ENG;1977;7
ENG;1978;8
ENG;1979;5
ENG;1980;10
ENG;1981;20
ENG;1982;8
ENG;1983;7
ENG;1984;13
ENG;1985;11
ENG;1986;14
ENG;1987;17
ENG;1988;12
ENG;1989;3
ENG;1990;5
ENG;1991;6
ENG;1992;6
ENG;1993;4
ENG;1994;2
ENG;1995;8
