 

stn;time;rhh150yx
LUZ;1981;23.4
LUZ;1982;27.6
LUZ;1983;17.5
LUZ;1984;24.4
LUZ;1985;13.4
LUZ;1986;20.0
LUZ;1987;15.9
LUZ;1988;35.1
LUZ;1989;21.4
LUZ;1990;19.0
LUZ;1991;16.1
LUZ;1992;32.8
LUZ;1993;36.1
LUZ;1994;18.2
LUZ;1995;14.7
LUZ;1996;34.4
LUZ;1997;22.1
LUZ;1998;18.3
LUZ;1999;15.7
LUZ;2000;18.4
LUZ;2001;14.1
LUZ;2002;39.9
LUZ;2003;26.3
LUZ;2004;19.0
LUZ;2005;17.0
LUZ;2006;31.4
LUZ;2007;18.0
LUZ;2008;21.0
LUZ;2009;24.8
LUZ;2010;25.1
LUZ;2011;22.5
LUZ;2012;18.1
LUZ;2013;19.7
LUZ;2014;32.2
LUZ;2015;21.6
LUZ;2016;13.5
LUZ;2017;23.1
LUZ;2018;16.8
LUZ;2019;27.2
LUZ;2020;15.5
