 

stn;time;hns000mx
CHD;198707;0
CHD;198708;0
CHD;198709;0
CHD;198710;0
CHD;198711;16
CHD;198712;6
CHD;198801;27
CHD;198802;32
CHD;198803;32
CHD;198804;0
CHD;198805;0
CHD;198806;0
CHD;198807;0
CHD;198808;0
CHD;198809;0
CHD;198810;0
CHD;198811;15
CHD;198812;20
CHD;198901;12
CHD;198902;27
CHD;198903;6
CHD;198904;15
CHD;198905;0
CHD;198906;0
CHD;198907;0
CHD;198908;0
CHD;198909;0
CHD;198910;0
CHD;198911;0
CHD;198912;0
CHD;199001;10
CHD;199002;12
CHD;199003;19
CHD;199004;6
CHD;199005;0
CHD;199006;0
CHD;199007;0
CHD;199008;0
CHD;199009;0
CHD;199010;0
CHD;199011;32
CHD;199012;39
CHD;199101;14
CHD;199102;17
CHD;199103;0
CHD;199104;12
CHD;199105;4
CHD;199106;0
CHD;199107;0
CHD;199108;0
CHD;199109;0
CHD;199110;9
CHD;199111;9
CHD;199112;12
CHD;199201;8
CHD;199202;13
CHD;199203;9
CHD;199204;14
CHD;199205;0
CHD;199206;0
CHD;199207;0
CHD;199208;0
CHD;199209;0
CHD;199210;5
CHD;199211;11
CHD;199212;6
CHD;199301;3
CHD;199302;51
CHD;199303;13
CHD;199304;0
CHD;199305;0
CHD;199306;0
CHD;199307;0
CHD;199308;0
CHD;199309;0
CHD;199310;0
CHD;199311;32
CHD;199312;40
CHD;199401;9
CHD;199402;7
CHD;199403;0
CHD;199404;14
CHD;199405;0
CHD;199406;0
CHD;199407;0
CHD;199408;0
CHD;199409;0
CHD;199410;0
CHD;199411;0
CHD;199412;7
CHD;199501;34
CHD;199502;19
CHD;199503;20
CHD;199504;0
CHD;199505;8
CHD;199506;0
CHD;199507;0
CHD;199508;0
CHD;199509;0
CHD;199510;0
CHD;199511;3
CHD;199512;20
CHD;199601;1
CHD;199602;22
CHD;199603;0
CHD;199604;25
CHD;199605;0
CHD;199606;0
CHD;199607;0
CHD;199608;0
CHD;199609;0
CHD;199610;0
CHD;199611;17
CHD;199612;7
CHD;199701;10
CHD;199702;15
CHD;199703;4
CHD;199704;0
CHD;199705;0
CHD;199706;0
CHD;199707;0
CHD;199708;0
CHD;199709;0
CHD;199710;1
CHD;199711;0
CHD;199712;20
CHD;199801;33
CHD;199802;5
CHD;199803;20
CHD;199804;28
CHD;199805;0
CHD;199806;0
CHD;199807;0
CHD;199808;0
CHD;199809;0
CHD;199810;0
CHD;199811;16
CHD;199812;13
CHD;199901;18
CHD;199902;30
CHD;199903;23
CHD;199904;21
CHD;199905;0
CHD;199906;0
CHD;199907;0
CHD;199908;0
CHD;199909;0
CHD;199910;0
CHD;199911;21
CHD;199912;30
CHD;200001;30
CHD;200002;19
CHD;200003;15
CHD;200004;0
CHD;200005;0
CHD;200006;0
CHD;200007;0
CHD;200008;0
CHD;200009;0
CHD;200010;0
CHD;200011;4
CHD;200012;15
CHD;200101;16
CHD;200102;7
CHD;200103;8
CHD;200104;15
CHD;200105;0
CHD;200106;0
CHD;200107;0
CHD;200108;0
CHD;200109;1
CHD;200110;0
CHD;200111;12
CHD;200112;14
CHD;200201;1
CHD;200202;11
CHD;200203;9
CHD;200204;1
CHD;200205;0
CHD;200206;0
CHD;200207;0
CHD;200208;0
CHD;200209;0
CHD;200210;0
CHD;200211;11
CHD;200212;5
CHD;200301;25
CHD;200302;25
CHD;200303;6
CHD;200304;20
CHD;200305;0
CHD;200306;0
CHD;200307;0
CHD;200308;0
CHD;200309;0
CHD;200310;2
CHD;200311;12
CHD;200312;21
CHD;200401;14
CHD;200402;8
CHD;200403;10
CHD;200404;11
CHD;200405;5
CHD;200406;0
CHD;200407;0
CHD;200408;0
CHD;200409;0
CHD;200410;0
CHD;200411;3
CHD;200412;18
CHD;200501;21
CHD;200502;37
CHD;200503;5
CHD;200504;8
CHD;200505;0
CHD;200506;0
CHD;200507;0
CHD;200508;0
CHD;200509;0
CHD;200510;0
CHD;200511;10
CHD;200512;25
CHD;200601;5
CHD;200602;13
CHD;200603;20
CHD;200604;5
CHD;200605;6
CHD;200606;0
CHD;200607;0
CHD;200608;0
CHD;200609;0
CHD;200610;0
CHD;200611;1
CHD;200612;16
CHD;200701;21
CHD;200702;9
CHD;200703;19
CHD;200704;0
CHD;200705;0
CHD;200706;0
CHD;200707;0
CHD;200708;0
CHD;200709;0
CHD;200710;0
CHD;200711;15
CHD;200712;21
CHD;200801;7
CHD;200802;5
CHD;200803;17
CHD;200804;11
CHD;200805;0
CHD;200806;0
CHD;200807;0
CHD;200808;0
CHD;200809;0
CHD;200810;21
CHD;200811;10
CHD;200812;18
CHD;200901;12
CHD;200902;47
CHD;200903;20
CHD;200904;0
CHD;200905;0
CHD;200906;0
CHD;200907;0
CHD;200908;0
CHD;200909;0
CHD;200910;1
CHD;200911;24
CHD;200912;10
CHD;201001;17
CHD;201002;9
CHD;201003;7
CHD;201004;6
CHD;201005;0
CHD;201006;0
CHD;201007;0
CHD;201008;0
CHD;201009;0
CHD;201010;2
CHD;201011;9
CHD;201012;12
CHD;201101;2
CHD;201102;10
CHD;201103;0
CHD;201104;0
CHD;201105;0
CHD;201106;0
CHD;201107;0
CHD;201108;0
CHD;201109;0
CHD;201110;0
CHD;201111;0
CHD;201112;35
CHD;201201;22
CHD;201202;33
CHD;201203;3
CHD;201204;0
CHD;201205;0
CHD;201206;0
CHD;201207;0
CHD;201208;0
CHD;201209;0
CHD;201210;8
CHD;201211;7
CHD;201212;25
CHD;201301;13
CHD;201302;18
CHD;201303;20
CHD;201304;6
CHD;201305;1
CHD;201306;0
CHD;201307;0
CHD;201308;0
CHD;201309;0
CHD;201310;0
CHD;201311;20
CHD;201312;17
CHD;201401;17
CHD;201402;18
CHD;201403;13
CHD;201404;0
CHD;201405;0
CHD;201406;0
CHD;201407;0
CHD;201408;0
CHD;201409;0
CHD;201410;0
CHD;201411;5
CHD;201412;30
CHD;201501;18
CHD;201502;20
CHD;201503;7
CHD;201504;2
CHD;201505;0
CHD;201506;0
CHD;201507;0
CHD;201508;0
CHD;201509;0
CHD;201510;0
CHD;201511;19
CHD;201512;0
CHD;201601;22
CHD;201602;17
CHD;201603;18
CHD;201604;10
CHD;201605;0
CHD;201606;0
CHD;201607;0
CHD;201608;0
CHD;201609;0
CHD;201610;0
CHD;201611;11
CHD;201612;2
CHD;201701;27
CHD;201702;28
CHD;201703;20
CHD;201704;10
CHD;201705;0
CHD;201706;0
CHD;201707;0
CHD;201708;0
CHD;201709;0
CHD;201710;0
CHD;201711;27
CHD;201712;23
CHD;201801;12
CHD;201802;12
CHD;201803;11
CHD;201804;0
CHD;201805;0
CHD;201806;0
CHD;201807;0
CHD;201808;0
CHD;201809;0
CHD;201810;0
CHD;201811;4
CHD;201812;8
CHD;201901;20
CHD;201902;17
CHD;201903;12
CHD;201904;20
CHD;201905;4
CHD;201906;0
CHD;201907;0
CHD;201908;0
CHD;201909;0
CHD;201910;0
CHD;201911;9
CHD;201912;16
CHD;202001;10
CHD;202002;13
CHD;202003;9
CHD;202004;0
CHD;202005;0
CHD;202006;0
CHD;202007;0
CHD;202008;0
CHD;202009;0
CHD;202010;0
CHD;202011;6
CHD;202012;13
CHD;202101;23
CHD;202102;5
CHD;202103;26
