 

stn;time;hns000y0
DEM;1961;9
DEM;1962;106
DEM;1963;60
DEM;1964;68
DEM;1965;86
DEM;1966;41
DEM;1967;29
DEM;1968;88
DEM;1969;90
DEM;1970;123
DEM;1971;44
DEM;1972;37
DEM;1973;61
DEM;1974;8
DEM;1975;33
DEM;1976;54
DEM;1977;75
DEM;1978;43
DEM;1979;69
DEM;1980;61
DEM;1981;81
DEM;1982;22
DEM;1983;34
DEM;1984;60
DEM;1985;88
DEM;1986;97
DEM;1987;69
DEM;1988;72
DEM;1989;2
DEM;1990;50
DEM;1991;20
DEM;1992;14
DEM;1993;22
DEM;1994;12
DEM;1995;52
DEM;1996;44
DEM;1997;12
DEM;1998;29
DEM;1999;60
DEM;2000;5
DEM;2001;25
DEM;2002;6
DEM;2003;20
DEM;2004;39
DEM;2005;96
