 

stn;time;fu3010m1
BIN;201402;76.3
BIN;201403;57.2
BIN;201404;61.6
BIN;201405;79.2
BIN;201406;56.9
BIN;201407;65.2
BIN;201408;56.2
BIN;201409;53.6
BIN;201410;79.9
BIN;201411;78.5
BIN;201412;72.0
BIN;201501;68.0
BIN;201502;51.8
BIN;201503;112.7
BIN;201504;72.0
BIN;201505;75.6
BIN;201506;63.0
BIN;201507;75.2
BIN;201508;59.8
BIN;201509;86.0
BIN;201510;53.3
BIN;201511;69.8
BIN;201512;42.5
BIN;201601;65.9
BIN;201602;86.8
BIN;201603;62.3
BIN;201604;69.5
BIN;201605;68.8
BIN;201606;51.8
BIN;201607;70.9
BIN;201608;65.9
BIN;201609;64.4
BIN;201610;58.3
BIN;201611;76.3
BIN;201612;57.6
BIN;201701;62.3
BIN;201702;81.0
BIN;201703;77.8
BIN;201704;67.0
BIN;201705;59.0
BIN;201706;83.5
BIN;201707;73.8
BIN;201708;78.8
BIN;201709;86.0
BIN;201710;74.5
BIN;201711;68.8
BIN;201712;70.6
BIN;201801;104.0
BIN;201802;72.4
BIN;201803;74.2
BIN;201804;99.0
BIN;201805;54.0
BIN;201806;49.7
BIN;201807;56.9
BIN;201808;74.5
BIN;201809;67.3
BIN;201810;110.2
BIN;201811;66.2
BIN;201812;96.1
BIN;201901;68.4
BIN;201902;65.9
BIN;201903;84.6
BIN;201904;70.2
BIN;201905;86.8
BIN;201906;78.8
BIN;201907;61.6
BIN;201908;72.4
BIN;201909;66.2
BIN;201910;87.5
BIN;201911;65.5
BIN;201912;80.6
BIN;202001;78.8
BIN;202002;101.5
BIN;202003;64.1
BIN;202004;50.8
BIN;202005;69.1
BIN;202006;61.6
BIN;202007;69.1
BIN;202008;63.7
BIN;202009;67.0
BIN;202010;69.5
BIN;202011;59.0
BIN;202012;74.9
BIN;202101;75.6
BIN;202102;59.8
BIN;202103;69.8
