 

stn;time;hto000y0
CHD;1941;7
CHD;1942;10
CHD;1943;5
CHD;1944;13
CHD;1945;9
CHD;1946;6
CHD;1947;7
CHD;1948;1
CHD;1949;6
CHD;1950;4
CHD;1951;7
CHD;1952;13
CHD;1953;7
CHD;1954;7
CHD;1955;3
CHD;1956;2
CHD;1957;2
CHD;1958;4
CHD;1959;3
CHD;1960;2
CHD;1961;4
CHD;1962;6
CHD;1963;15
CHD;1964;1
CHD;1965;10
CHD;1966;8
CHD;1967;4
CHD;1968;17
CHD;1969;10
CHD;1970;12
CHD;1971;6
CHD;1972;4
CHD;1973;8
CHD;1974;3
CHD;1975;1
CHD;1976;6
CHD;1977;8
CHD;1978;7
CHD;1979;4
CHD;1980;8
CHD;1981;14
CHD;1982;1
CHD;1983;3
CHD;1984;10
CHD;1985;5
CHD;1986;8
CHD;1987;14
CHD;1988;11
CHD;1989;5
CHD;1990;4
CHD;1991;4
CHD;1992;3
CHD;1993;4
CHD;1994;2
CHD;1995;6
CHD;1996;8
CHD;1997;3
CHD;1998;5
CHD;1999;13
CHD;2000;5
CHD;2001;2
CHD;2002;1
CHD;2003;8
CHD;2004;5
CHD;2005;12
CHD;2006;8
CHD;2007;3
CHD;2008;5
CHD;2009;13
CHD;2010;5
CHD;2011;3
CHD;2012;13
CHD;2013;9
CHD;2014;5
CHD;2015;6
CHD;2016;3
CHD;2017;8
CHD;2018;1
CHD;2019;6
CHD;2020;2
