 

stn;time;tnd00xy0
GSB;1967;146
GSB;1968;152
GSB;1969;166
GSB;1970;164
GSB;1971;139
GSB;1972;166
GSB;1973;165
GSB;1974;177
GSB;1975;148
GSB;1976;155
GSB;1977;141
GSB;1978;156
GSB;1979;164
GSB;1980;155
GSB;1981;137
GSB;1982;167
GSB;1983;134
GSB;1984;177
GSB;1985;152
GSB;1986;155
GSB;1987;151
GSB;1988;136
GSB;1989;126
GSB;1990;134
GSB;1991;167
GSB;1992;137
GSB;1993;149
GSB;1994;128
GSB;1995;157
GSB;1996;165
GSB;1997;135
GSB;1998;132
GSB;1999;147
GSB;2000;146
GSB;2001;145
GSB;2002;147
GSB;2003;142
GSB;2004;149
GSB;2005;145
GSB;2006;138
GSB;2007;128
GSB;2008;140
GSB;2009;155
GSB;2010;173
GSB;2011;121
GSB;2012;140
GSB;2013;150
GSB;2014;127
GSB;2015;110
GSB;2016;141
GSB;2017;137
GSB;2018;135
GSB;2019;142
GSB;2020;108
