 

stn;time;tnd00xy0
DLBAB;1949;5
DLBAB;1950;19
DLBAB;1951;6
DLBAB;1952;8
DLBAB;1953;13
DLBAB;1954;25
DLBAB;1955;14
DLBAB;1956;31
DLBAB;1957;9
DLBAB;1958;5
DLBAB;1959;11
DLBAB;1960;12
DLBAB;1961;14
DLBAB;1962;18
DLBAB;1963;48
DLBAB;1964;22
DLBAB;1965;7
DLBAB;1966;10
DLBAB;1967;14
DLBAB;1968;16
DLBAB;1969;31
DLBAB;1970;16
DLBAB;1971;19
DLBAB;1972;18
DLBAB;1973;14
DLBAB;1974;1
DLBAB;1975;1
DLBAB;1976;14
DLBAB;1977;6
DLBAB;1978;26
DLBAB;1979;19
DLBAB;1980;21
DLBAB;1981;23
DLBAB;1982;20
DLBAB;1983;8
