 

stn;time;rzz150yx
STG;1982;25.4
STG;1983;7.7
STG;1984;10.2
STG;1985;10.8
STG;1986;16.2
STG;1987;20.8
STG;1988;5.9
STG;1989;8.7
STG;1990;10.0
STG;1991;12.1
STG;1992;7.0
STG;1993;10.5
STG;1994;12.3
STG;1995;7.1
STG;1996;13.2
STG;1997;6.7
STG;1998;16.2
STG;1999;6.7
STG;2000;11.3
STG;2001;10.2
STG;2002;13.3
STG;2003;18.3
STG;2004;16.6
STG;2005;12.5
STG;2006;5.4
STG;2007;6.6
STG;2008;21.7
STG;2009;12.0
STG;2010;11.6
STG;2011;15.5
STG;2012;10.6
STG;2013;11.6
STG;2014;8.0
STG;2015;18.5
STG;2016;6.8
STG;2017;7.0
STG;2018;22.1
STG;2019;6.6
STG;2020;14.1
