 

stn;time;rsd300y0
KOL;1900;7
KOL;1901;6
KOL;1902;4
KOL;1903;6
KOL;1904;2
KOL;1905;4
KOL;1906;3
KOL;1907;7
KOL;1908;8
KOL;1909;7
KOL;1910;11
KOL;1911;2
KOL;1912;4
KOL;1913;1
KOL;1914;3
KOL;1915;4
KOL;1916;2
KOL;1917;6
KOL;1918;4
KOL;1919;4
KOL;1920;1
KOL;1921;1
KOL;1922;5
KOL;1923;2
KOL;1924;3
KOL;1925;2
KOL;1926;4
KOL;1927;5
KOL;1928;2
KOL;1929;2
KOL;1930;7
KOL;1931;5
KOL;1932;6
KOL;1933;2
KOL;1934;3
KOL;1935;4
KOL;1936;4
KOL;1937;1
KOL;1938;6
KOL;1939;4
KOL;1940;11
KOL;1941;3
KOL;1942;4
KOL;1943;2
KOL;1944;6
KOL;1945;2
KOL;1946;10
KOL;1947;3
KOL;1948;2
KOL;1949;0
KOL;1950;5
KOL;1951;2
KOL;1952;5
KOL;1953;2
KOL;1954;4
KOL;1955;5
KOL;1956;6
KOL;1957;4
KOL;1958;8
KOL;1959;5
KOL;1960;3
KOL;1961;3
KOL;1962;4
KOL;1963;2
KOL;1964;5
KOL;1965;4
KOL;1966;4
KOL;1967;5
KOL;1968;5
KOL;1969;4
KOL;1970;7
KOL;1971;3
KOL;1972;5
KOL;1973;4
