 

stn;time;rhh150yx
WFJ;1981;22.2
WFJ;1982;20.0
WFJ;1983;9.3
WFJ;1984;8.3
WFJ;1985;11.8
WFJ;1986;13.4
WFJ;1987;9.2
WFJ;1988;8.7
WFJ;1989;18.7
WFJ;1990;14.8
WFJ;1991;14.5
WFJ;1992;14.5
WFJ;1993;9.8
WFJ;1994;19.7
WFJ;1995;25.5
WFJ;1996;10.1
WFJ;1997;12.9
WFJ;1998;13.6
WFJ;1999;12.6
WFJ;2000;12.1
WFJ;2001;10.7
WFJ;2002;10.8
WFJ;2003;15.8
WFJ;2004;10.3
WFJ;2005;16.1
WFJ;2006;29.1
WFJ;2007;11.1
WFJ;2008;16.7
WFJ;2009;10.0
WFJ;2010;12.8
WFJ;2011;11.3
WFJ;2012;15.9
WFJ;2013;8.3
WFJ;2014;16.2
WFJ;2015;36.6
WFJ;2016;12.5
WFJ;2017;17.0
