 

stn;time;rzz150yx
BER;1981;23.2
BER;1982;15.1
BER;1983;7.8
BER;1984;6.7
BER;1985;4.5
BER;1986;10.4
BER;1987;11.9
BER;1988;12.6
BER;1989;14.0
BER;1990;10.3
BER;1991;11.3
BER;1992;9.3
BER;1993;10.7
BER;1994;10.7
BER;1995;9.5
BER;1996;14.5
BER;1997;6.9
BER;1998;7.8
BER;1999;13.3
BER;2000;7.9
BER;2001;8.7
BER;2002;14.2
BER;2003;13.9
BER;2004;11.1
BER;2005;9.4
BER;2006;11.4
BER;2007;13.3
BER;2008;6.1
BER;2009;11.3
BER;2010;14.4
BER;2011;9.7
BER;2012;9.6
BER;2013;7.7
BER;2014;13.4
BER;2015;9.4
BER;2016;7.1
BER;2017;5.9
BER;2018;15.9
BER;2019;6.1
BER;2020;8.7
