 

stn;time;rzz150yx
MAG;1981;9.9
MAG;1982;18.7
MAG;1983;32.1
MAG;1984;9.7
MAG;1985;23.0
MAG;1986;14.6
MAG;1987;18.7
MAG;1988;12.4
MAG;1989;13.1
MAG;1990;9.6
MAG;1991;11.1
MAG;1992;8.0
MAG;1993;15.8
MAG;1994;16.7
MAG;1995;12.8
MAG;1996;11.1
MAG;1997;15.4
MAG;1998;17.7
MAG;1999;16.4
MAG;2000;14.1
MAG;2001;29.4
MAG;2002;15.4
MAG;2003;13.8
MAG;2004;16.2
MAG;2005;15.6
MAG;2006;17.8
MAG;2007;14.1
MAG;2008;15.6
MAG;2009;16.5
MAG;2010;13.9
MAG;2011;11.7
MAG;2012;18.2
MAG;2013;14.2
MAG;2014;15.6
MAG;2015;11.2
MAG;2016;14.0
MAG;2017;14.8
MAG;2018;13.6
MAG;2019;18.5
MAG;2020;22.3
