 

stn;time;rzz150yx
AIG;1981;5.3
AIG;1982;6.4
AIG;1983;8.8
AIG;1984;4.5
AIG;1985;6.4
AIG;1986;6.5
AIG;1987;6.0
AIG;1988;8.4
AIG;1989;11.9
AIG;1990;7.2
AIG;1991;6.5
AIG;1992;20.4
AIG;1993;9.5
AIG;1994;7.2
AIG;1995;9.3
AIG;1996;7.5
AIG;1997;8.1
AIG;1998;6.7
AIG;1999;8.6
AIG;2000;4.5
AIG;2001;4.7
AIG;2002;5.9
AIG;2003;7.2
AIG;2004;11.6
AIG;2005;7.8
AIG;2006;7.0
AIG;2007;5.4
AIG;2008;8.0
AIG;2009;9.0
AIG;2010;5.6
AIG;2011;10.6
AIG;2012;5.5
AIG;2013;10.7
AIG;2014;6.4
AIG;2015;19.2
AIG;2016;15.9
AIG;2017;8.1
AIG;2018;11.9
AIG;2019;11.2
AIG;2020;11.3
