Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94072

Filename                                Filetype  Station                              Parameter                                                   Period
order_94072_TIBIO_rhh150mx_3_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          201109-201303
order_94072_TIBIO_rhh150mx_3_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          201109-201303
order_94072_TIBIO_rhh150mx_4_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          201304-201604
order_94072_TIBIO_rhh150mx_4_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          201304-201604
order_94072_TIBIO_rhh150mx_5_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          201605-201803
order_94072_TIBIO_rhh150mx_5_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          201605-201803
order_94072_TIBIO_rhh150mx_6_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          201804-201903
order_94072_TIBIO_rhh150mx_6_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          201804-201903
order_94072_TIBIO_rhh150mx_7_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          201906-202103
order_94072_TIBIO_rhh150mx_7_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          201906-202103
order_94072_BOU_rhh150mx_1_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199407-199408
order_94072_BOU_rhh150mx_1_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199407-199408
order_94072_BOU_rhh150mx_2_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199409-199411
order_94072_BOU_rhh150mx_2_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199409-199411
order_94072_BOU_rhh150mx_3_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199412-199612
order_94072_BOU_rhh150mx_3_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199412-199612
order_94072_BOU_rhh150mx_4_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199701-199806
order_94072_BOU_rhh150mx_4_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199701-199806
order_94072_BOU_rhh150mx_5_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199808-199810
order_94072_BOU_rhh150mx_5_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199808-199810
order_94072_BOU_rhh150mx_6_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199811-199905
order_94072_BOU_rhh150mx_6_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199811-199905
order_94072_BOU_rhh150mx_7_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199906-199911
order_94072_BOU_rhh150mx_7_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199906-199911
order_94072_BOU_rhh150mx_8_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          199912-200002
order_94072_BOU_rhh150mx_8_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          199912-200002
order_94072_BOU_rhh150mx_9_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the month          200006-200010
order_94072_BOU_rhh150mx_9_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the month          200006-200010
order_94072_BOU_rhh150mx_10_data.txt    Data      Bouveret                             Precipitation; maximum total per hour of the month          200011-200111
order_94072_BOU_rhh150mx_10_legend.txt  Legend    Bouveret                             Precipitation; maximum total per hour of the month          200011-200111
order_94072_BOU_rhh150mx_11_data.txt    Data      Bouveret                             Precipitation; maximum total per hour of the month          200112-200501
order_94072_BOU_rhh150mx_11_legend.txt  Legend    Bouveret                             Precipitation; maximum total per hour of the month          200112-200501
order_94072_BOU_rhh150mx_12_data.txt    Data      Bouveret                             Precipitation; maximum total per hour of the month          200504-200703
order_94072_BOU_rhh150mx_12_legend.txt  Legend    Bouveret                             Precipitation; maximum total per hour of the month          200504-200703
order_94072_BOU_rhh150mx_13_data.txt    Data      Bouveret                             Precipitation; maximum total per hour of the month          200704-200711
order_94072_BOU_rhh150mx_13_legend.txt  Legend    Bouveret                             Precipitation; maximum total per hour of the month          200704-200711
order_94072_IYBOZ_rhh150mx_1_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          200012-200211
order_94072_IYBOZ_rhh150mx_1_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          200012-200211
order_94072_IYBOZ_rhh150mx_2_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          200212-201902
order_94072_IYBOZ_rhh150mx_2_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          200212-201902
order_94072_IYBOZ_rhh150mx_3_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          201905-201907
order_94072_IYBOZ_rhh150mx_3_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          201905-201907
order_94072_IYBOZ_rhh150mx_4_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          201909-201912
