 

stn;time;fu3010m1
MTE;201708;54.4
MTE;201709;37.4
MTE;201710;35.6
MTE;201711;54.7
MTE;201712;56.9
MTE;201801;83.9
MTE;201802;43.9
MTE;201803;39.2
MTE;201804;40.0
MTE;201805;39.2
MTE;201806;35.6
MTE;201807;46.8
MTE;201808;40.7
MTE;201809;43.9
MTE;201810;34.2
MTE;201811;32.0
MTE;201812;83.9
MTE;201901;38.9
MTE;201902;45.4
MTE;201903;44.6
MTE;201904;50.0
MTE;201905;49.3
MTE;201906;46.8
MTE;201907;46.4
MTE;201908;38.9
MTE;201909;31.7
MTE;201910;40.7
MTE;201911;42.1
MTE;201912;85.3
MTE;202001;60.8
MTE;202002;86.0
MTE;202003;37.1
MTE;202004;31.7
MTE;202005;47.9
MTE;202006;38.9
MTE;202007;50.4
MTE;202008;35.6
MTE;202009;39.2
MTE;202010;40.0
MTE;202011;34.9
MTE;202012;36.7
MTE;202101;50.4
MTE;202102;32.0
MTE;202103;60.1
