 

stn;time;hns000y0
SBE;1968;815
SBE;1969;442
SBE;1970;833
SBE;1971;480
SBE;1972;724
SBE;1973;444
SBE;1974;658
SBE;1975;1046
SBE;1976;384
SBE;1977;766
SBE;1978;944
SBE;1979;773
SBE;1980;378
SBE;1981;615
SBE;1982;581
SBE;1983;481
SBE;1984;815
SBE;1985;756
SBE;1986;819
SBE;1987;508
SBE;1988;528
SBE;1989;540
SBE;1990;625
SBE;1991;423
SBE;1992;487
SBE;1993;291
SBE;1994;537
SBE;1995;463
SBE;1996;451
SBE;1997;430
SBE;1998;466
SBE;1999;647
SBE;2000;625
SBE;2001;510
SBE;2002;395
SBE;2003;458
SBE;2004;432
SBE;2005;258
